
INFO 	2016-04-15 05:12:57 	[preliminary_checks] 	eaed0e91e_467f847a2 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-15 07:02:04 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_467f847a2/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-15 07:02:04 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-15 07:02:05 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 6061

INFO 	2016-04-15 07:02:18 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-15 07:02:18 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-15 07:02:18 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-15 07:02:18 	[align_and_merge] 	read length = 75
INFO 	2016-04-15 07:02:18 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-15 07:02:19 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-15 20:43:37 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_467f847a2/logs/hg38_mmtv/eaed0e91e_467f847a2_align_and_merge_paired_end.log
TIME 	2016-04-15 20:47:49 	[align_and_merge] 	step time for completion (seconds) = 49540

INFO 	2016-04-15 20:48:12 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-15 22:03:06 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.898234880128
INFO 	2016-04-15 22:03:06 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.882567743921
INFO 	2016-04-15 22:03:06 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 207906404
INFO 	2016-04-15 22:03:06 	[post_mapping_statistics] 	counts-to-distance slope = -1.24873511146
TIME 	2016-04-15 22:03:20 	[post_mapping_statistics] 	step time for completion (seconds) = 4508

INFO 	2016-04-15 22:03:56 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-15 22:03:56 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_467f847a2/results/hg38_mmtv/filtered_reads
INFO 	2016-04-15 22:03:56 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_467f847a2/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-15 22:03:56 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_467f847a2/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-15 22:03:56 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_467f847a2/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-15 22:40:27 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-15 22:43:46 	[reads_filtering] 	step time for completion (seconds) = 2424

INFO 	2016-04-15 22:43:48 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_467f847a2/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-15 22:43:48 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-15 22:43:48 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-15 22:43:48 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-15 23:32:21 	[post_filtering_statistics] 	step time for completion (seconds) = 2913

INFO 	2016-04-15 23:32:36 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_467f847a2/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-16 00:49:59 	[index_contacts] 	step time for completion (seconds) = 4643

INFO 	2016-04-16 00:50:13 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 117 files...
TIME 	2016-04-16 03:21:04 	[map_to_bam] 	step time for completion (seconds) = 9051

INFO 	2016-04-16 03:21:15 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-16 16:13:11 	[downstream_bam] 	step time for completion (seconds) = 46316

INFO 	2016-04-16 16:13:12 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-16 16:13:12 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_467f847a2/fastqs_processed
INFO 	2016-04-16 16:13:12 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_467f847a2/mapped_reads
TIME 	2016-04-16 16:13:13 	[clean_up] 	step time for completion (seconds) = 1


