
INFO 	2016-04-06 20:28:04 	[preliminary_checks] 	e6588f786_84fa55d9b found in /users/project/4DGenome/data/4DGenome_metadata.db
TIME 	2016-04-07 01:21:32 	[post_mapping_statistics] 	step time for completion (seconds) = 1015

INFO 	2016-04-07 01:21:43 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-07 01:21:43 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_84fa55d9b/results/mm10/filtered_reads
INFO 	2016-04-07 01:21:43 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_84fa55d9b/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-07 01:21:43 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_84fa55d9b/results/mm10/excluded_reads/self_circle
INFO 	2016-04-07 01:21:43 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_84fa55d9b/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-07 01:30:05 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-07 01:31:04 	[reads_filtering] 	step time for completion (seconds) = 570

INFO 	2016-04-07 01:31:06 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_84fa55d9b/plots/mm10/post_filtering_statistics:
INFO 	2016-04-07 01:31:06 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-07 01:31:06 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-07 01:31:06 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-07 01:42:44 	[post_filtering_statistics] 	step time for completion (seconds) = 698

INFO 	2016-04-07 01:42:47 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_84fa55d9b/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-07 02:05:25 	[index_contacts] 	step time for completion (seconds) = 1358

INFO 	2016-04-07 02:05:30 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 31 files...
TIME 	2016-04-07 02:47:03 	[map_to_bam] 	step time for completion (seconds) = 2493

INFO 	2016-04-07 02:47:05 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-07 10:59:01 	[downstream_bam] 	step time for completion (seconds) = 29516

INFO 	2016-04-07 10:59:02 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-07 10:59:02 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/e6588f786_84fa55d9b/fastqs_processed
INFO 	2016-04-07 10:59:02 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/e6588f786_84fa55d9b/mapped_reads
TIME 	2016-04-07 10:59:07 	[clean_up] 	step time for completion (seconds) = 5


