
INFO 	2016-04-08 09:56:18 	[preliminary_checks] 	b742f3789_43b4d3493 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-09 03:14:42 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_43b4d3493/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-09 03:14:42 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_43b4d3493/results/mm10/excluded_reads/self_circle
INFO 	2016-04-09 03:14:42 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_43b4d3493/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-09 03:47:26 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-09 03:51:40 	[reads_filtering] 	step time for completion (seconds) = 2252

INFO 	2016-04-09 03:51:43 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_43b4d3493/plots/mm10/post_filtering_statistics:
INFO 	2016-04-09 03:51:43 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-09 03:51:43 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-09 03:51:43 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-09 04:30:48 	[post_filtering_statistics] 	step time for completion (seconds) = 2346

INFO 	2016-04-09 04:30:57 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_43b4d3493/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-09 05:41:49 	[index_contacts] 	step time for completion (seconds) = 4252

INFO 	2016-04-09 05:42:06 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 123 files...
TIME 	2016-04-09 08:22:05 	[map_to_bam] 	step time for completion (seconds) = 9598

INFO 	2016-04-09 08:22:15 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-09 18:34:54 	[downstream_bam] 	step time for completion (seconds) = 36759

INFO 	2016-04-09 18:34:55 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 18:34:55 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_43b4d3493/fastqs_processed
INFO 	2016-04-09 18:34:55 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_43b4d3493/mapped_reads
TIME 	2016-04-09 18:34:56 	[clean_up] 	step time for completion (seconds) = 1


