
INFO 	2016-04-01 16:06:28 	[preliminary_checks] 	cbf5146d5_ac9f54f0a found in /users/project/4DGenome/data/4DGenome_metadata.db
TIME 	2016-04-01 16:22:46 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 808

INFO 	2016-04-01 16:22:52 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-01 16:22:52 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-01 16:22:52 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-01 16:22:52 	[align_and_merge] 	read length = 76
INFO 	2016-04-01 16:22:54 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-01 16:22:54 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-01 18:06:14 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/cbf5146d5_ac9f54f0a/logs/hg38_mmtv/cbf5146d5_ac9f54f0a_align_and_merge_paired_end.log
TIME 	2016-04-01 18:06:53 	[align_and_merge] 	step time for completion (seconds) = 6245

INFO 	2016-04-01 18:07:24 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-01 18:16:20 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.851114932676
INFO 	2016-04-01 18:16:20 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.789097721364
INFO 	2016-04-01 18:16:20 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 25123794
INFO 	2016-04-01 18:16:20 	[post_mapping_statistics] 	counts-to-distance slope = -1.19856519741
TIME 	2016-04-01 18:16:33 	[post_mapping_statistics] 	step time for completion (seconds) = 549

INFO 	2016-04-01 18:16:38 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-01 18:16:38 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/cbf5146d5_ac9f54f0a/results/hg38_mmtv/filtered_reads
INFO 	2016-04-01 18:16:38 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/cbf5146d5_ac9f54f0a/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-01 18:16:38 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/cbf5146d5_ac9f54f0a/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-01 18:16:38 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/cbf5146d5_ac9f54f0a/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-01 18:22:10 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-01 18:22:34 	[reads_filtering] 	step time for completion (seconds) = 360

INFO 	2016-04-01 18:22:50 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/cbf5146d5_ac9f54f0a/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-01 18:22:50 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-01 18:22:51 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-01 18:22:51 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-01 18:29:04 	[post_filtering_statistics] 	step time for completion (seconds) = 374

INFO 	2016-04-01 18:29:33 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/cbf5146d5_ac9f54f0a/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-01 18:39:46 	[index_contacts] 	step time for completion (seconds) = 614

INFO 	2016-04-01 18:40:11 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 14 files...
TIME 	2016-04-01 18:59:34 	[map_to_bam] 	step time for completion (seconds) = 1164

INFO 	2016-04-01 18:59:37 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-01 20:31:49 	[downstream_bam] 	step time for completion (seconds) = 5532


