
INFO 	2016-04-14 04:10:04 	[preliminary_checks] 	e22e868a9_6bddf5c69 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 05:31:01 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 19532080
INFO 	2016-04-14 05:31:01 	[post_mapping_statistics] 	counts-to-distance slope = -1.09319862362
TIME 	2016-04-14 05:31:07 	[post_mapping_statistics] 	step time for completion (seconds) = 443

INFO 	2016-04-14 05:31:12 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-14 05:31:12 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_6bddf5c69/results/hg38_mmtv/filtered_reads
INFO 	2016-04-14 05:31:12 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_6bddf5c69/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-14 05:31:12 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_6bddf5c69/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-14 05:31:12 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_6bddf5c69/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-14 05:34:19 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-14 05:34:32 	[reads_filtering] 	step time for completion (seconds) = 203

INFO 	2016-04-14 05:34:33 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_6bddf5c69/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-14 05:34:33 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-14 05:34:33 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-14 05:34:33 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-14 05:39:55 	[post_filtering_statistics] 	step time for completion (seconds) = 322

INFO 	2016-04-14 05:39:56 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_6bddf5c69/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-14 05:46:33 	[index_contacts] 	step time for completion (seconds) = 397

INFO 	2016-04-14 05:46:35 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 11 files...
TIME 	2016-04-14 06:02:20 	[map_to_bam] 	step time for completion (seconds) = 945

INFO 	2016-04-14 06:02:21 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0303/job_scripts/2269702: line 747: 21315 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-14 11:30:22 	[downstream_bam] 	step time for completion (seconds) = 19681

INFO 	2016-04-14 11:30:24 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-14 11:30:24 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_6bddf5c69/fastqs_processed
INFO 	2016-04-14 11:30:24 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_6bddf5c69/mapped_reads
TIME 	2016-04-14 11:30:28 	[clean_up] 	step time for completion (seconds) = 4


