
INFO 	2016-04-14 23:20:47 	[preliminary_checks] 	ab7537068_cd45830f3 found in /users/project/4DGenome/data/4DGenome_metadata.db
TIME 	2016-04-15 09:28:50 	[post_filtering_statistics] 	step time for completion (seconds) = 1195

INFO 	2016-04-15 09:29:02 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/ab7537068_cd45830f3/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-15 10:05:12 	[index_contacts] 	step time for completion (seconds) = 2170

INFO 	2016-04-15 10:05:17 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 60 files...
TIME 	2016-04-15 11:22:13 	[map_to_bam] 	step time for completion (seconds) = 4616

INFO 	2016-04-15 11:22:17 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-15 22:40:03 	[downstream_bam] 	step time for completion (seconds) = 40666

INFO 	2016-04-15 22:40:05 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-15 22:40:05 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/ab7537068_cd45830f3/fastqs_processed
INFO 	2016-04-15 22:40:05 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/ab7537068_cd45830f3/mapped_reads
TIME 	2016-04-15 22:40:05 	[clean_up] 	step time for completion (seconds) = 0


