
INFO 	2016-05-03 13:23:58 	[preliminary_checks] 	a7c643d27_15f152106 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-05-03 16:11:28 	[align_and_merge] 	assembly version = mm10
INFO 	2016-05-03 16:11:28 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-05-03 16:11:28 	[align_and_merge] 	read length = 75
INFO 	2016-05-03 16:11:28 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-05-03 16:11:28 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-05-04 09:12:21 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_15f152106/logs/mm10/a7c643d27_15f152106_align_and_merge_paired_end.log
TIME 	2016-05-04 09:17:19 	[align_and_merge] 	step time for completion (seconds) = 61555

INFO 	2016-05-04 09:17:29 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-05-04 10:39:32 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.974321862413
INFO 	2016-05-04 10:39:32 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.976911525064
INFO 	2016-05-04 10:39:32 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 229133274
INFO 	2016-05-04 10:39:32 	[post_mapping_statistics] 	counts-to-distance slope = -1.06816580063
TIME 	2016-05-04 10:39:39 	[post_mapping_statistics] 	step time for completion (seconds) = 4930

INFO 	2016-05-04 10:40:25 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-05-04 10:40:25 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_15f152106/results/mm10/filtered_reads
INFO 	2016-05-04 10:40:25 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_15f152106/results/mm10/excluded_reads/dangling_ends
INFO 	2016-05-04 10:40:25 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_15f152106/results/mm10/excluded_reads/self_circle
INFO 	2016-05-04 10:40:25 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_15f152106/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-05-04 11:23:06 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-05-04 11:28:54 	[reads_filtering] 	step time for completion (seconds) = 2954

INFO 	2016-05-04 11:28:56 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_15f152106/plots/mm10/post_filtering_statistics:
INFO 	2016-05-04 11:28:56 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-05-04 11:28:56 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-05-04 11:28:56 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-05-04 12:21:47 	[post_filtering_statistics] 	step time for completion (seconds) = 3171

INFO 	2016-05-04 12:21:49 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_15f152106/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-05-04 14:02:52 	[index_contacts] 	step time for completion (seconds) = 6063

INFO 	2016-05-04 14:02:57 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 170 files...
TIME 	2016-05-04 17:21:53 	[map_to_bam] 	step time for completion (seconds) = 11936

INFO 	2016-05-04 17:22:02 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0404/job_scripts/3483796: line 756:  8967 Aborted                 (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-05-05 04:36:44 	[downstream_bam] 	step time for completion (seconds) = 40482


INFO 	2016-05-05 04:36:47 	[pipeline] 	completed successfully
TIME 	2016-05-05 04:36:47 	[pipeline] 	total time for completion (seconds) = 141229

