
INFO 	2016-04-06 00:07:56 	[preliminary_checks] 	1317ef052_f34e98deb found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 13:51:53 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 174808581
INFO 	2016-04-06 13:51:53 	[post_mapping_statistics] 	counts-to-distance slope = -1.38235185469
TIME 	2016-04-06 13:52:03 	[post_mapping_statistics] 	step time for completion (seconds) = 3381

INFO 	2016-04-06 13:52:40 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 13:52:40 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/1317ef052_f34e98deb/results/hg38_mmtv/filtered_reads
INFO 	2016-04-06 13:52:40 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/1317ef052_f34e98deb/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-06 13:52:40 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/1317ef052_f34e98deb/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-06 13:52:40 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/1317ef052_f34e98deb/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 14:22:21 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 14:23:37 	[reads_filtering] 	step time for completion (seconds) = 1885

INFO 	2016-04-06 14:23:39 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/1317ef052_f34e98deb/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-06 14:23:39 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 14:23:39 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 14:23:39 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 14:43:11 	[post_filtering_statistics] 	step time for completion (seconds) = 1172

INFO 	2016-04-06 14:43:13 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/1317ef052_f34e98deb/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 15:13:53 	[index_contacts] 	step time for completion (seconds) = 1840

INFO 	2016-04-06 15:13:55 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 94 files...
TIME 	2016-04-06 17:19:11 	[map_to_bam] 	step time for completion (seconds) = 7516

INFO 	2016-04-06 17:19:36 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-07 04:25:19 	[downstream_bam] 	step time for completion (seconds) = 39943

INFO 	2016-04-07 04:25:20 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-07 04:25:20 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/1317ef052_f34e98deb/fastqs_processed
INFO 	2016-04-07 04:25:20 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/1317ef052_f34e98deb/mapped_reads
TIME 	2016-04-07 04:25:21 	[clean_up] 	step time for completion (seconds) = 1


