
INFO 	2016-04-14 15:45:01 	[preliminary_checks] 	b1913e6c1_cd45830f3 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-15 09:03:52 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 116 files...
TIME 	2016-04-15 11:30:35 	[map_to_bam] 	step time for completion (seconds) = 8803

INFO 	2016-04-15 11:30:38 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-16 00:44:06 	[downstream_bam] 	step time for completion (seconds) = 47608

INFO 	2016-04-16 00:44:08 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-16 00:44:08 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_cd45830f3/fastqs_processed
INFO 	2016-04-16 00:44:08 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_cd45830f3/mapped_reads
TIME 	2016-04-16 00:44:08 	[clean_up] 	step time for completion (seconds) = 0


