
INFO 	2016-05-03 13:33:25 	[preliminary_checks] 	fc3e8b36a_4bf044f18 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-05-04 12:56:03 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4bf044f18/results/mm10/excluded_reads/self_circle
INFO 	2016-05-04 12:56:03 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4bf044f18/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-05-04 13:42:30 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-05-04 13:47:34 	[reads_filtering] 	step time for completion (seconds) = 3141

INFO 	2016-05-04 13:47:36 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4bf044f18/plots/mm10/post_filtering_statistics:
INFO 	2016-05-04 13:47:36 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-05-04 13:47:36 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-05-04 13:47:36 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-05-04 14:49:36 	[post_filtering_statistics] 	step time for completion (seconds) = 3720

INFO 	2016-05-04 14:49:47 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4bf044f18/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-05-04 16:41:06 	[index_contacts] 	step time for completion (seconds) = 6679

INFO 	2016-05-04 16:41:13 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 186 files...
TIME 	2016-05-04 20:36:33 	[map_to_bam] 	step time for completion (seconds) = 14120

INFO 	2016-05-04 20:36:46 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-05-05 08:10:01 	[downstream_bam] 	step time for completion (seconds) = 41595


INFO 	2016-05-05 08:10:02 	[pipeline] 	completed successfully
TIME 	2016-05-05 08:10:02 	[pipeline] 	total time for completion (seconds) = 153444

