
INFO 	2016-04-05 00:20:26 	[preliminary_checks] 	a1e46328c_51720e9cf found in /users/project/4DGenome/data/4DGenome_metadata.db
TIME 	2016-04-05 01:29:13 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 3855

INFO 	2016-04-05 01:29:19 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-05 01:29:19 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-05 01:29:19 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-05 01:29:19 	[align_and_merge] 	read length = 75
INFO 	2016-04-05 01:29:19 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 01:29:19 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-05 08:29:23 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/logs/hg38_mmtv/a1e46328c_51720e9cf_align_and_merge_paired_end.log
TIME 	2016-04-05 08:31:04 	[align_and_merge] 	step time for completion (seconds) = 25309

INFO 	2016-04-05 08:31:19 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-05 09:07:45 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.885927778603
INFO 	2016-04-05 09:07:45 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.848861623728
INFO 	2016-04-05 09:07:45 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 126591604
INFO 	2016-04-05 09:07:45 	[post_mapping_statistics] 	counts-to-distance slope = -1.25491297902
TIME 	2016-04-05 09:07:51 	[post_mapping_statistics] 	step time for completion (seconds) = 2192

INFO 	2016-04-05 09:08:12 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-05 09:08:12 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/results/hg38_mmtv/filtered_reads
INFO 	2016-04-05 09:08:12 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-05 09:08:12 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-05 09:08:12 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-05 09:27:47 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-05 09:29:15 	[reads_filtering] 	step time for completion (seconds) = 1282

INFO 	2016-04-05 09:29:17 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-05 09:29:17 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-05 09:29:17 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-05 09:29:17 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-05 09:49:48 	[post_filtering_statistics] 	step time for completion (seconds) = 1231

INFO 	2016-04-05 09:49:50 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-05 10:28:55 	[index_contacts] 	step time for completion (seconds) = 2345

INFO 	2016-04-05 10:29:01 	[map_to_bam] 	converting MAP to BAM
