
INFO 	2016-04-08 16:25:32 	[preliminary_checks] 	b742f3789_2337dcf66 found in /users/project/4DGenome/data/4DGenome_metadata.db
TIME 	2016-04-08 19:31:44 	[align_and_merge] 	step time for completion (seconds) = 9793

INFO 	2016-04-08 19:32:02 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-08 19:44:21 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.829475182588
INFO 	2016-04-08 19:44:21 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.80432029465
INFO 	2016-04-08 19:44:22 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 38063850
INFO 	2016-04-08 19:44:22 	[post_mapping_statistics] 	counts-to-distance slope = -1.01011074167
TIME 	2016-04-08 19:44:36 	[post_mapping_statistics] 	step time for completion (seconds) = 754

INFO 	2016-04-08 19:44:43 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-08 19:44:43 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_2337dcf66/results/mm10/filtered_reads
INFO 	2016-04-08 19:44:43 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_2337dcf66/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-08 19:44:43 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_2337dcf66/results/mm10/excluded_reads/self_circle
INFO 	2016-04-08 19:44:43 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_2337dcf66/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-08 19:50:48 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-08 19:51:49 	[reads_filtering] 	step time for completion (seconds) = 432

INFO 	2016-04-08 19:51:54 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_2337dcf66/plots/mm10/post_filtering_statistics:
INFO 	2016-04-08 19:51:54 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-08 19:51:54 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-08 19:51:54 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-08 20:00:10 	[post_filtering_statistics] 	step time for completion (seconds) = 496

INFO 	2016-04-08 20:00:13 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_2337dcf66/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-08 20:13:53 	[index_contacts] 	step time for completion (seconds) = 820

INFO 	2016-04-08 20:13:56 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 22 files...
TIME 	2016-04-08 20:43:15 	[map_to_bam] 	step time for completion (seconds) = 1759

INFO 	2016-04-08 20:43:33 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0310/job_scripts/2168750: line 747: 15728 Aborted                 (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-09 04:40:33 	[downstream_bam] 	step time for completion (seconds) = 28621

INFO 	2016-04-09 04:40:34 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 04:40:34 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_2337dcf66/fastqs_processed
INFO 	2016-04-09 04:40:34 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_2337dcf66/mapped_reads
TIME 	2016-04-09 04:40:39 	[clean_up] 	step time for completion (seconds) = 5


