
INFO 	2016-04-15 00:31:36 	[preliminary_checks] 	b742f3789_8478dfc31 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-15 03:03:25 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-15 03:03:25 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-15 03:03:25 	[align_and_merge] 	read length = 75
INFO 	2016-04-15 03:03:25 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-15 03:03:25 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-15 18:03:52 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8478dfc31/logs/mm10/b742f3789_8478dfc31_align_and_merge_paired_end.log
TIME 	2016-04-15 18:09:05 	[align_and_merge] 	step time for completion (seconds) = 54345

INFO 	2016-04-15 18:09:25 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-15 19:23:25 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.844235173825
INFO 	2016-04-15 19:23:25 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.8264079885
INFO 	2016-04-15 19:23:25 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 256919089
INFO 	2016-04-15 19:23:25 	[post_mapping_statistics] 	counts-to-distance slope = -0.907999763251
TIME 	2016-04-15 19:23:42 	[post_mapping_statistics] 	step time for completion (seconds) = 4458

INFO 	2016-04-15 19:24:22 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-15 19:24:22 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8478dfc31/results/mm10/filtered_reads
INFO 	2016-04-15 19:24:22 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8478dfc31/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-15 19:24:22 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8478dfc31/results/mm10/excluded_reads/self_circle
INFO 	2016-04-15 19:24:22 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8478dfc31/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-15 20:02:02 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-15 20:06:18 	[reads_filtering] 	step time for completion (seconds) = 2555

INFO 	2016-04-15 20:06:21 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8478dfc31/plots/mm10/post_filtering_statistics:
INFO 	2016-04-15 20:06:21 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-15 20:06:21 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-15 20:06:21 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-15 21:05:21 	[post_filtering_statistics] 	step time for completion (seconds) = 3540

INFO 	2016-04-15 21:05:34 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8478dfc31/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-15 22:38:56 	[index_contacts] 	step time for completion (seconds) = 5602

INFO 	2016-04-15 22:39:10 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 145 files...
TIME 	2016-04-16 01:44:16 	[map_to_bam] 	step time for completion (seconds) = 11106

INFO 	2016-04-16 01:44:28 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0305/job_scripts/2271768: line 747: 16873 Aborted                 (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-16 12:23:08 	[downstream_bam] 	step time for completion (seconds) = 38320

INFO 	2016-04-16 12:23:09 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-16 12:23:09 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8478dfc31/fastqs_processed
INFO 	2016-04-16 12:23:09 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8478dfc31/mapped_reads
TIME 	2016-04-16 12:23:10 	[clean_up] 	step time for completion (seconds) = 1


