
INFO 	2016-04-08 16:26:57 	[preliminary_checks] 	fc3e8b36a_4c48f0739 found in /users/project/4DGenome/data/4DGenome_metadata.db
TIME 	2016-04-08 16:50:29 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1297

INFO 	2016-04-08 16:50:36 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-08 16:50:37 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-08 16:50:37 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-08 16:50:37 	[align_and_merge] 	read length = 75
INFO 	2016-04-08 16:50:37 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 16:50:37 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-08 19:39:27 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4c48f0739/logs/mm10/fc3e8b36a_4c48f0739_align_and_merge_paired_end.log
TIME 	2016-04-08 19:40:22 	[align_and_merge] 	step time for completion (seconds) = 10191

INFO 	2016-04-08 19:40:27 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-08 19:52:41 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.840651372558
INFO 	2016-04-08 19:52:41 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.816222669295
INFO 	2016-04-08 19:52:41 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 38836885
INFO 	2016-04-08 19:52:41 	[post_mapping_statistics] 	counts-to-distance slope = -1.25274119071
TIME 	2016-04-08 19:52:50 	[post_mapping_statistics] 	step time for completion (seconds) = 743

INFO 	2016-04-08 19:52:58 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-08 19:52:58 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4c48f0739/results/mm10/filtered_reads
INFO 	2016-04-08 19:52:58 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4c48f0739/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-08 19:52:58 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4c48f0739/results/mm10/excluded_reads/self_circle
INFO 	2016-04-08 19:52:58 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4c48f0739/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-08 19:59:18 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-08 20:00:32 	[reads_filtering] 	step time for completion (seconds) = 461

INFO 	2016-04-08 20:00:35 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4c48f0739/plots/mm10/post_filtering_statistics:
INFO 	2016-04-08 20:00:35 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-08 20:00:35 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-08 20:00:35 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-08 20:09:28 	[post_filtering_statistics] 	step time for completion (seconds) = 533

INFO 	2016-04-08 20:09:44 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4c48f0739/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-08 20:27:18 	[index_contacts] 	step time for completion (seconds) = 1054

INFO 	2016-04-08 20:27:21 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 23 files...
TIME 	2016-04-08 20:58:29 	[map_to_bam] 	step time for completion (seconds) = 1868

INFO 	2016-04-08 20:58:34 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0211/job_scripts/2168753: line 747: 20291 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-09 03:41:05 	[downstream_bam] 	step time for completion (seconds) = 24151

INFO 	2016-04-09 03:41:06 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 03:41:06 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4c48f0739/fastqs_processed
INFO 	2016-04-09 03:41:06 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4c48f0739/mapped_reads
TIME 	2016-04-09 03:41:11 	[clean_up] 	step time for completion (seconds) = 5


