
INFO 	2016-04-06 16:42:31 	[preliminary_checks] 	c0b8584ea_48a4704a7 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 23:40:52 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 23:59:45 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.640564179383
INFO 	2016-04-06 23:59:45 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.630893230436
INFO 	2016-04-06 23:59:45 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 64977478
INFO 	2016-04-06 23:59:45 	[post_mapping_statistics] 	counts-to-distance slope = -1.11023959512
TIME 	2016-04-06 23:59:51 	[post_mapping_statistics] 	step time for completion (seconds) = 1139

INFO 	2016-04-07 00:00:02 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-07 00:00:02 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/c0b8584ea_48a4704a7/results/mm10/filtered_reads
INFO 	2016-04-07 00:00:02 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/c0b8584ea_48a4704a7/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-07 00:00:02 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/c0b8584ea_48a4704a7/results/mm10/excluded_reads/self_circle
INFO 	2016-04-07 00:00:02 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/c0b8584ea_48a4704a7/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-07 00:10:39 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-07 00:11:05 	[reads_filtering] 	step time for completion (seconds) = 672

INFO 	2016-04-07 00:11:07 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/c0b8584ea_48a4704a7/plots/mm10/post_filtering_statistics:
INFO 	2016-04-07 00:11:07 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-07 00:11:07 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-07 00:11:07 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-07 00:19:51 	[post_filtering_statistics] 	step time for completion (seconds) = 524

INFO 	2016-04-07 00:19:52 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/c0b8584ea_48a4704a7/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-07 00:33:06 	[index_contacts] 	step time for completion (seconds) = 794

INFO 	2016-04-07 00:33:10 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 37 files...
TIME 	2016-04-07 01:20:09 	[map_to_bam] 	step time for completion (seconds) = 2819

INFO 	2016-04-07 01:20:21 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-07 08:27:39 	[downstream_bam] 	step time for completion (seconds) = 25638

INFO 	2016-04-07 08:27:41 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-07 08:27:41 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/c0b8584ea_48a4704a7/fastqs_processed
INFO 	2016-04-07 08:27:41 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/c0b8584ea_48a4704a7/mapped_reads
TIME 	2016-04-07 08:27:47 	[clean_up] 	step time for completion (seconds) = 6


