
INFO 	2016-04-08 13:18:14 	[preliminary_checks] 	b742f3789_c70705afa found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 14:39:44 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 14:39:44 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-08 23:43:28 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c70705afa/logs/mm10/b742f3789_c70705afa_align_and_merge_paired_end.log
TIME 	2016-04-08 23:46:50 	[align_and_merge] 	step time for completion (seconds) = 32840

INFO 	2016-04-08 23:47:04 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-09 00:28:55 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.832303990984
INFO 	2016-04-09 00:28:55 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.821093159218
INFO 	2016-04-09 00:28:55 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 146573648
INFO 	2016-04-09 00:28:55 	[post_mapping_statistics] 	counts-to-distance slope = -1.00977223549
TIME 	2016-04-09 00:29:18 	[post_mapping_statistics] 	step time for completion (seconds) = 2535

INFO 	2016-04-09 00:29:43 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-09 00:29:43 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c70705afa/results/mm10/filtered_reads
INFO 	2016-04-09 00:29:43 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c70705afa/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-09 00:29:43 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c70705afa/results/mm10/excluded_reads/self_circle
INFO 	2016-04-09 00:29:43 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c70705afa/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-09 00:51:39 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-09 00:54:20 	[reads_filtering] 	step time for completion (seconds) = 1499

INFO 	2016-04-09 00:54:38 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c70705afa/plots/mm10/post_filtering_statistics:
INFO 	2016-04-09 00:54:38 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-09 00:54:38 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-09 00:54:38 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-09 01:21:22 	[post_filtering_statistics] 	step time for completion (seconds) = 1605

INFO 	2016-04-09 01:21:38 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c70705afa/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-09 02:10:06 	[index_contacts] 	step time for completion (seconds) = 2908

INFO 	2016-04-09 02:10:11 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 82 files...
TIME 	2016-04-09 03:53:36 	[map_to_bam] 	step time for completion (seconds) = 6205

INFO 	2016-04-09 03:53:38 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0315/job_scripts/2168485: line 747:  5616 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-09 13:20:47 	[downstream_bam] 	step time for completion (seconds) = 34029

INFO 	2016-04-09 13:20:49 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 13:20:49 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c70705afa/fastqs_processed
INFO 	2016-04-09 13:20:49 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c70705afa/mapped_reads
TIME 	2016-04-09 13:20:49 	[clean_up] 	step time for completion (seconds) = 0


