
INFO 	2016-04-05 20:18:30 	[preliminary_checks] 	f8a4ad91d_df6973bc7 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 23:04:41 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/f8a4ad91d_df6973bc7/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-05 23:10:58 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-05 23:11:25 	[reads_filtering] 	step time for completion (seconds) = 410

INFO 	2016-04-05 23:11:27 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/f8a4ad91d_df6973bc7/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-05 23:11:27 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-05 23:11:27 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-05 23:11:27 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-05 23:18:24 	[post_filtering_statistics] 	step time for completion (seconds) = 417

INFO 	2016-04-05 23:18:27 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/f8a4ad91d_df6973bc7/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-05 23:28:04 	[index_contacts] 	step time for completion (seconds) = 577

INFO 	2016-04-05 23:28:06 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 20 files...
TIME 	2016-04-05 23:54:52 	[map_to_bam] 	step time for completion (seconds) = 1606

INFO 	2016-04-05 23:54:55 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-06 06:05:29 	[downstream_bam] 	step time for completion (seconds) = 22234

INFO 	2016-04-06 06:05:31 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-06 06:05:31 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/f8a4ad91d_df6973bc7/fastqs_processed
INFO 	2016-04-06 06:05:31 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/f8a4ad91d_df6973bc7/mapped_reads
TIME 	2016-04-06 06:05:37 	[clean_up] 	step time for completion (seconds) = 6


