
INFO 	2016-04-08 09:56:53 	[preliminary_checks] 	a7c643d27_4ed08f4eb found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 12:16:05 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-08 12:16:05 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-08 12:16:05 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-08 12:16:05 	[align_and_merge] 	read length = 75
INFO 	2016-04-08 12:16:06 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 12:16:06 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-09 03:34:47 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_4ed08f4eb/logs/mm10/a7c643d27_4ed08f4eb_align_and_merge_paired_end.log
TIME 	2016-04-09 03:41:45 	[align_and_merge] 	step time for completion (seconds) = 55544

INFO 	2016-04-09 03:41:59 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-09 04:49:18 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.849637161187
INFO 	2016-04-09 04:49:18 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.842550713539
INFO 	2016-04-09 04:49:18 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 244557853
INFO 	2016-04-09 04:49:18 	[post_mapping_statistics] 	counts-to-distance slope = -1.06866522927
TIME 	2016-04-09 04:49:26 	[post_mapping_statistics] 	step time for completion (seconds) = 4047

INFO 	2016-04-09 04:50:08 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-09 04:50:08 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_4ed08f4eb/results/mm10/filtered_reads
INFO 	2016-04-09 04:50:08 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_4ed08f4eb/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-09 04:50:08 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_4ed08f4eb/results/mm10/excluded_reads/self_circle
INFO 	2016-04-09 04:50:08 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_4ed08f4eb/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-09 05:25:46 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-09 05:30:44 	[reads_filtering] 	step time for completion (seconds) = 2476

INFO 	2016-04-09 05:30:46 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_4ed08f4eb/plots/mm10/post_filtering_statistics:
INFO 	2016-04-09 05:30:46 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-09 05:30:46 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-09 05:30:46 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-09 06:15:11 	[post_filtering_statistics] 	step time for completion (seconds) = 2665

INFO 	2016-04-09 06:15:14 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_4ed08f4eb/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-09 07:37:29 	[index_contacts] 	step time for completion (seconds) = 4936

INFO 	2016-04-09 07:37:44 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 138 files...
TIME 	2016-04-09 10:40:15 	[map_to_bam] 	step time for completion (seconds) = 10951

INFO 	2016-04-09 10:40:28 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0210/job_scripts/2168200: line 747:  2265 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-09 21:34:18 	[downstream_bam] 	step time for completion (seconds) = 39230

INFO 	2016-04-09 21:34:19 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 21:34:19 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_4ed08f4eb/fastqs_processed
INFO 	2016-04-09 21:34:19 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_4ed08f4eb/mapped_reads
TIME 	2016-04-09 21:34:19 	[clean_up] 	step time for completion (seconds) = 0


