
INFO 	2016-04-04 15:14:18 	[preliminary_checks] 	dc3a1e069_51720e9cf found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-04 21:10:42 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_51720e9cf/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-04 21:10:42 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_51720e9cf/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-04 21:10:42 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_51720e9cf/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-04 21:22:24 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-04 21:23:30 	[reads_filtering] 	step time for completion (seconds) = 780

INFO 	2016-04-04 21:23:32 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_51720e9cf/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-04 21:23:32 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-04 21:23:32 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-04 21:23:32 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-04 21:38:45 	[post_filtering_statistics] 	step time for completion (seconds) = 913

INFO 	2016-04-04 21:38:47 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_51720e9cf/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-04 22:05:28 	[index_contacts] 	step time for completion (seconds) = 1601

INFO 	2016-04-04 22:05:30 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 44 files...
TIME 	2016-04-04 23:02:37 	[map_to_bam] 	step time for completion (seconds) = 3427

INFO 	2016-04-04 23:02:49 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-05 00:19:33 	[downstream_bam] 	step time for completion (seconds) = 4604


