
INFO 	2016-04-13 13:38:20 	[preliminary_checks] 	858b56753_886ff5097 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-13 13:51:49 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-13 13:51:49 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/858b56753_886ff5097/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-13 13:51:49 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-13 13:51:49 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 685

INFO 	2016-04-13 13:51:55 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-13 13:51:55 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-13 13:51:55 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-13 13:51:55 	[align_and_merge] 	read length = 100
INFO 	2016-04-13 13:51:55 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-13 13:51:55 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-13 14:53:12 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/858b56753_886ff5097/logs/hg38_mmtv/858b56753_886ff5097_align_and_merge_paired_end.log
TIME 	2016-04-13 14:53:25 	[align_and_merge] 	step time for completion (seconds) = 3694

INFO 	2016-04-13 14:53:27 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-13 15:00:22 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.781288182588
INFO 	2016-04-13 15:00:22 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.745110604004
INFO 	2016-04-13 15:00:22 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 17119687
INFO 	2016-04-13 15:00:22 	[post_mapping_statistics] 	counts-to-distance slope = -0.177624171984
TIME 	2016-04-13 15:00:28 	[post_mapping_statistics] 	step time for completion (seconds) = 421

INFO 	2016-04-13 15:00:32 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-13 15:00:32 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/858b56753_886ff5097/results/hg38_mmtv/filtered_reads
INFO 	2016-04-13 15:00:32 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/858b56753_886ff5097/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-13 15:00:32 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/858b56753_886ff5097/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-13 15:00:32 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/858b56753_886ff5097/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-13 15:03:31 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-13 15:03:40 	[reads_filtering] 	step time for completion (seconds) = 191

INFO 	2016-04-13 15:03:41 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/858b56753_886ff5097/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-13 15:03:41 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-13 15:03:41 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-13 15:03:41 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-13 15:08:13 	[post_filtering_statistics] 	step time for completion (seconds) = 272

INFO 	2016-04-13 15:08:15 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/858b56753_886ff5097/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-13 15:12:56 	[index_contacts] 	step time for completion (seconds) = 281

INFO 	2016-04-13 15:13:28 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 10 files...
TIME 	2016-04-13 15:26:14 	[map_to_bam] 	step time for completion (seconds) = 766

INFO 	2016-04-13 15:26:16 	[downstream_bam] 	perform several downstream analyses
