
INFO 	2016-04-14 11:06:31 	[preliminary_checks] 	cbf5146d5_ac9f54f0a found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 11:21:32 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-14 11:21:32 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/cbf5146d5_ac9f54f0a/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-14 11:21:32 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-14 11:21:32 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 805

INFO 	2016-04-14 11:21:41 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-14 11:21:41 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-14 11:21:41 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-14 11:21:41 	[align_and_merge] 	read length = 76
INFO 	2016-04-14 11:21:41 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-14 11:21:41 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-14 12:47:52 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/cbf5146d5_ac9f54f0a/logs/hg38_mmtv/cbf5146d5_ac9f54f0a_align_and_merge_paired_end.log
TIME 	2016-04-14 12:48:17 	[align_and_merge] 	step time for completion (seconds) = 5201

INFO 	2016-04-14 12:48:29 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-14 12:57:37 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.851114932676
INFO 	2016-04-14 12:57:37 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.789097721364
INFO 	2016-04-14 12:57:37 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 25123794
INFO 	2016-04-14 12:57:37 	[post_mapping_statistics] 	counts-to-distance slope = -1.19856519741
TIME 	2016-04-14 12:57:45 	[post_mapping_statistics] 	step time for completion (seconds) = 556

INFO 	2016-04-14 12:57:51 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-14 12:57:51 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/cbf5146d5_ac9f54f0a/results/hg38_mmtv/filtered_reads
INFO 	2016-04-14 12:57:51 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/cbf5146d5_ac9f54f0a/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-14 12:57:51 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/cbf5146d5_ac9f54f0a/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-14 12:57:51 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/cbf5146d5_ac9f54f0a/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-14 13:02:03 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-14 13:02:16 	[reads_filtering] 	step time for completion (seconds) = 269

INFO 	2016-04-14 13:02:18 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/cbf5146d5_ac9f54f0a/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-14 13:02:18 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-14 13:02:18 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-14 13:02:18 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-14 13:08:16 	[post_filtering_statistics] 	step time for completion (seconds) = 358

INFO 	2016-04-14 13:08:18 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/cbf5146d5_ac9f54f0a/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-14 13:15:57 	[index_contacts] 	step time for completion (seconds) = 459

INFO 	2016-04-14 13:15:59 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 14 files...
TIME 	2016-04-14 13:34:34 	[map_to_bam] 	step time for completion (seconds) = 1115

INFO 	2016-04-14 13:34:36 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0407/job_scripts/2271283: line 747: 46739 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-14 19:15:16 	[downstream_bam] 	step time for completion (seconds) = 20440

INFO 	2016-04-14 19:15:17 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-14 19:15:17 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/cbf5146d5_ac9f54f0a/fastqs_processed
INFO 	2016-04-14 19:15:17 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/cbf5146d5_ac9f54f0a/mapped_reads
TIME 	2016-04-14 19:15:22 	[clean_up] 	step time for completion (seconds) = 5


