
INFO 	2016-04-13 15:32:55 	[preliminary_checks] 	b742f3789_5d8eb72e0 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-13 15:58:38 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-13 15:58:38 	[trim_reads_trimmomatic] 	reads after trimming = 60171163
INFO 	2016-04-13 15:58:59 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-13 15:58:59 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_5d8eb72e0/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-13 15:58:59 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-13 15:58:59 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1441

INFO 	2016-04-13 15:59:05 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-13 15:59:05 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-13 15:59:05 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-13 15:59:05 	[align_and_merge] 	read length = 76
INFO 	2016-04-13 15:59:05 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-13 15:59:05 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-13 18:10:13 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_5d8eb72e0/logs/mm10/b742f3789_5d8eb72e0_align_and_merge_paired_end.log
TIME 	2016-04-13 18:10:42 	[align_and_merge] 	step time for completion (seconds) = 7902

INFO 	2016-04-13 18:10:47 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-13 18:21:49 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.742815757109
INFO 	2016-04-13 18:21:49 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.733491074454
INFO 	2016-04-13 18:21:49 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 33134449
INFO 	2016-04-13 18:21:49 	[post_mapping_statistics] 	counts-to-distance slope = -0.907866189698
TIME 	2016-04-13 18:22:06 	[post_mapping_statistics] 	step time for completion (seconds) = 679

INFO 	2016-04-13 18:22:12 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-13 18:22:12 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_5d8eb72e0/results/mm10/filtered_reads
INFO 	2016-04-13 18:22:12 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_5d8eb72e0/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-13 18:22:12 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_5d8eb72e0/results/mm10/excluded_reads/self_circle
INFO 	2016-04-13 18:22:12 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_5d8eb72e0/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-13 18:27:36 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-13 18:27:58 	[reads_filtering] 	step time for completion (seconds) = 351

INFO 	2016-04-13 18:27:59 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_5d8eb72e0/plots/mm10/post_filtering_statistics:
INFO 	2016-04-13 18:27:59 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-13 18:27:59 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-13 18:27:59 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-13 18:35:07 	[post_filtering_statistics] 	step time for completion (seconds) = 428

INFO 	2016-04-13 18:35:09 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_5d8eb72e0/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-13 18:45:50 	[index_contacts] 	step time for completion (seconds) = 641

INFO 	2016-04-13 18:45:53 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 19 files...
TIME 	2016-04-13 19:09:54 	[map_to_bam] 	step time for completion (seconds) = 1442

INFO 	2016-04-13 19:10:07 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0313/job_scripts/2269670: line 747:  8775 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-14 02:54:42 	[downstream_bam] 	step time for completion (seconds) = 27875

INFO 	2016-04-14 02:54:44 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-14 02:54:44 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_5d8eb72e0/fastqs_processed
INFO 	2016-04-14 02:54:44 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_5d8eb72e0/mapped_reads
TIME 	2016-04-14 02:54:49 	[clean_up] 	step time for completion (seconds) = 5


