
INFO 	2016-04-14 11:06:25 	[preliminary_checks] 	ddee6ba41_ac9f54f0a found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 11:20:54 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-14 11:20:54 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-14 12:46:08 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/ddee6ba41_ac9f54f0a/logs/hg38_mmtv/ddee6ba41_ac9f54f0a_align_and_merge_paired_end.log
TIME 	2016-04-14 12:46:32 	[align_and_merge] 	step time for completion (seconds) = 5143

INFO 	2016-04-14 12:46:37 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-14 12:55:04 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.852256792766
INFO 	2016-04-14 12:55:04 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.80077351499
INFO 	2016-04-14 12:55:04 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 24479710
INFO 	2016-04-14 12:55:04 	[post_mapping_statistics] 	counts-to-distance slope = -1.21953098768
TIME 	2016-04-14 12:55:13 	[post_mapping_statistics] 	step time for completion (seconds) = 517

INFO 	2016-04-14 12:55:20 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-14 12:55:20 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/ddee6ba41_ac9f54f0a/results/hg38_mmtv/filtered_reads
INFO 	2016-04-14 12:55:20 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/ddee6ba41_ac9f54f0a/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-14 12:55:20 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/ddee6ba41_ac9f54f0a/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-14 12:55:20 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/ddee6ba41_ac9f54f0a/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-14 12:59:31 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-14 12:59:47 	[reads_filtering] 	step time for completion (seconds) = 271

INFO 	2016-04-14 12:59:48 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/ddee6ba41_ac9f54f0a/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-14 12:59:48 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-14 12:59:48 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-14 12:59:48 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-14 13:05:36 	[post_filtering_statistics] 	step time for completion (seconds) = 348

INFO 	2016-04-14 13:05:39 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/ddee6ba41_ac9f54f0a/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-14 13:13:18 	[index_contacts] 	step time for completion (seconds) = 459

INFO 	2016-04-14 13:13:22 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 14 files...
TIME 	2016-04-14 13:31:38 	[map_to_bam] 	step time for completion (seconds) = 1096

INFO 	2016-04-14 13:31:40 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0205/job_scripts/2271286: line 747: 27427 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-14 19:18:09 	[downstream_bam] 	step time for completion (seconds) = 20789

INFO 	2016-04-14 19:18:10 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-14 19:18:10 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/ddee6ba41_ac9f54f0a/fastqs_processed
INFO 	2016-04-14 19:18:10 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/ddee6ba41_ac9f54f0a/mapped_reads
TIME 	2016-04-14 19:18:15 	[clean_up] 	step time for completion (seconds) = 5


