
INFO 	2016-04-06 06:01:36 	[preliminary_checks] 	b7fa2d8db_d5f36599c found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 09:29:11 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_d5f36599c/results/mm10/excluded_reads/self_circle
INFO 	2016-04-06 09:29:11 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_d5f36599c/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 09:34:18 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 09:34:51 	[reads_filtering] 	step time for completion (seconds) = 345

INFO 	2016-04-06 09:34:53 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_d5f36599c/plots/mm10/post_filtering_statistics:
INFO 	2016-04-06 09:34:53 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 09:34:53 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 09:34:53 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 09:42:31 	[post_filtering_statistics] 	step time for completion (seconds) = 458

INFO 	2016-04-06 09:42:33 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_d5f36599c/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 09:54:19 	[index_contacts] 	step time for completion (seconds) = 706

INFO 	2016-04-06 09:54:27 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 19 files...
TIME 	2016-04-06 10:19:30 	[map_to_bam] 	step time for completion (seconds) = 1503

INFO 	2016-04-06 10:19:32 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0214/job_scripts/2164921: line 747: 29155 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-06 18:20:38 	[downstream_bam] 	step time for completion (seconds) = 28866

INFO 	2016-04-06 18:20:40 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-06 18:20:40 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_d5f36599c/fastqs_processed
INFO 	2016-04-06 18:20:40 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_d5f36599c/mapped_reads
TIME 	2016-04-06 18:20:46 	[clean_up] 	step time for completion (seconds) = 6


