
INFO 	2016-04-05 13:45:28 	[preliminary_checks] 	eaed0e91e_2a3b69a85 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 22:45:20 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.874256581297
INFO 	2016-04-05 22:45:20 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.827951663885
INFO 	2016-04-05 22:45:20 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 126261438
INFO 	2016-04-05 22:45:20 	[post_mapping_statistics] 	counts-to-distance slope = -1.16385905886
TIME 	2016-04-05 22:45:28 	[post_mapping_statistics] 	step time for completion (seconds) = 2098

INFO 	2016-04-05 22:45:48 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-05 22:45:48 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/results/hg38_mmtv/filtered_reads
INFO 	2016-04-05 22:45:48 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-05 22:45:48 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-05 22:45:48 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-05 23:05:03 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-05 23:06:33 	[reads_filtering] 	step time for completion (seconds) = 1263

INFO 	2016-04-05 23:06:35 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-05 23:06:35 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-05 23:06:35 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-05 23:06:35 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-05 23:26:54 	[post_filtering_statistics] 	step time for completion (seconds) = 1219

INFO 	2016-04-05 23:26:56 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 00:02:02 	[index_contacts] 	step time for completion (seconds) = 2106

INFO 	2016-04-06 00:02:05 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 71 files...
TIME 	2016-04-06 01:30:22 	[map_to_bam] 	step time for completion (seconds) = 5297

INFO 	2016-04-06 01:30:28 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-06 13:38:02 	[downstream_bam] 	step time for completion (seconds) = 43654

INFO 	2016-04-06 13:38:04 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-06 13:38:04 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/fastqs_processed
INFO 	2016-04-06 13:38:04 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/mapped_reads
TIME 	2016-04-06 13:38:05 	[clean_up] 	step time for completion (seconds) = 1


