
INFO 	2016-04-08 16:21:23 	[preliminary_checks] 	b742f3789_900ec8f51 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 19:49:08 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_900ec8f51/plots/mm10/post_filtering_statistics:
INFO 	2016-04-08 19:49:08 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-08 19:49:08 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-08 19:49:08 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-08 19:57:13 	[post_filtering_statistics] 	step time for completion (seconds) = 485

INFO 	2016-04-08 19:57:16 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_900ec8f51/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-08 20:10:30 	[index_contacts] 	step time for completion (seconds) = 794

INFO 	2016-04-08 20:10:57 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 20 files...
TIME 	2016-04-08 20:37:46 	[map_to_bam] 	step time for completion (seconds) = 1609

INFO 	2016-04-08 20:37:52 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0408/job_scripts/2168743: line 747: 30106 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-09 04:32:57 	[downstream_bam] 	step time for completion (seconds) = 28505

INFO 	2016-04-09 04:33:01 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 04:33:01 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_900ec8f51/fastqs_processed
INFO 	2016-04-09 04:33:01 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_900ec8f51/mapped_reads
TIME 	2016-04-09 04:33:06 	[clean_up] 	step time for completion (seconds) = 5


