
INFO 	2016-04-08 10:07:43 	[preliminary_checks] 	b742f3789_d4ae493c2 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-09 08:12:09 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d4ae493c2/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-09 09:30:43 	[index_contacts] 	step time for completion (seconds) = 4714

INFO 	2016-04-09 09:30:58 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 131 files...
TIME 	2016-04-09 12:23:23 	[map_to_bam] 	step time for completion (seconds) = 10345

INFO 	2016-04-09 12:23:36 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0104/job_scripts/2168217: line 747: 42189 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-09 22:52:15 	[downstream_bam] 	step time for completion (seconds) = 37719

INFO 	2016-04-09 22:52:16 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 22:52:16 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d4ae493c2/fastqs_processed
INFO 	2016-04-09 22:52:16 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d4ae493c2/mapped_reads
TIME 	2016-04-09 22:52:17 	[clean_up] 	step time for completion (seconds) = 1


