
INFO 	2016-05-03 12:44:26 	[preliminary_checks] 	e22e868a9_e45e05898 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-05-03 23:29:46 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-05-03 23:29:46 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_e45e05898/results/hg38_mmtv/filtered_reads
INFO 	2016-05-03 23:29:46 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_e45e05898/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-05-03 23:29:46 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_e45e05898/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-05-03 23:29:46 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_e45e05898/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-05-03 23:58:41 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-05-04 00:01:25 	[reads_filtering] 	step time for completion (seconds) = 1927

INFO 	2016-05-04 00:01:28 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_e45e05898/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-05-04 00:01:28 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-05-04 00:01:28 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-05-04 00:01:28 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-05-04 00:36:22 	[post_filtering_statistics] 	step time for completion (seconds) = 2094

INFO 	2016-05-04 00:36:33 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_e45e05898/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-05-04 01:40:52 	[index_contacts] 	step time for completion (seconds) = 3859

INFO 	2016-05-04 01:41:10 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 114 files...
TIME 	2016-05-04 04:04:46 	[map_to_bam] 	step time for completion (seconds) = 8616

INFO 	2016-05-04 04:04:58 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-05-04 16:26:12 	[downstream_bam] 	step time for completion (seconds) = 44474


INFO 	2016-05-04 16:26:14 	[pipeline] 	completed successfully
TIME 	2016-05-04 16:26:14 	[pipeline] 	total time for completion (seconds) = 99786

