
INFO 	2016-04-06 18:16:46 	[preliminary_checks] 	b7fa2d8db_71c0fc2b2 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 18:54:52 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-06 18:54:52 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 18:54:52 	[align_and_merge] 	read length = 76
INFO 	2016-04-06 18:54:53 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-06 18:54:53 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 22:14:07 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_71c0fc2b2/logs/mm10/b7fa2d8db_71c0fc2b2_align_and_merge_paired_end.log
TIME 	2016-04-06 22:14:43 	[align_and_merge] 	step time for completion (seconds) = 11998

INFO 	2016-04-06 22:14:47 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 22:31:05 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.792593502589
INFO 	2016-04-06 22:31:05 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.787081454939
INFO 	2016-04-06 22:31:05 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 51707623
INFO 	2016-04-06 22:31:05 	[post_mapping_statistics] 	counts-to-distance slope = -1.23685620006
TIME 	2016-04-06 22:31:11 	[post_mapping_statistics] 	step time for completion (seconds) = 984

INFO 	2016-04-06 22:31:21 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 22:31:21 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_71c0fc2b2/results/mm10/filtered_reads
INFO 	2016-04-06 22:31:21 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_71c0fc2b2/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-06 22:31:21 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_71c0fc2b2/results/mm10/excluded_reads/self_circle
INFO 	2016-04-06 22:31:21 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_71c0fc2b2/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 22:39:10 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 22:40:07 	[reads_filtering] 	step time for completion (seconds) = 534

INFO 	2016-04-06 22:40:08 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_71c0fc2b2/plots/mm10/post_filtering_statistics:
INFO 	2016-04-06 22:40:08 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 22:40:08 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 22:40:08 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 22:51:27 	[post_filtering_statistics] 	step time for completion (seconds) = 679

INFO 	2016-04-06 22:51:33 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_71c0fc2b2/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 23:10:05 	[index_contacts] 	step time for completion (seconds) = 1112

INFO 	2016-04-06 23:10:08 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 31 files...
TIME 	2016-04-06 23:48:50 	[map_to_bam] 	step time for completion (seconds) = 2322

INFO 	2016-04-06 23:48:52 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0213/job_scripts/2165429: line 747: 29347 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-07 08:00:27 	[downstream_bam] 	step time for completion (seconds) = 29495

INFO 	2016-04-07 08:00:29 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-07 08:00:29 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_71c0fc2b2/fastqs_processed
INFO 	2016-04-07 08:00:29 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_71c0fc2b2/mapped_reads
TIME 	2016-04-07 08:00:33 	[clean_up] 	step time for completion (seconds) = 4


