
INFO 	2016-04-06 18:21:44 	[preliminary_checks] 	fc3e8b36a_761b84fec found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 21:44:17 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_761b84fec/logs/mm10/fc3e8b36a_761b84fec_align_and_merge_paired_end.log
TIME 	2016-04-06 21:44:47 	[align_and_merge] 	step time for completion (seconds) = 10261

INFO 	2016-04-06 21:44:54 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 21:57:53 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.762505414277
INFO 	2016-04-06 21:57:53 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.739226896438
INFO 	2016-04-06 21:57:53 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 41477441
INFO 	2016-04-06 21:57:53 	[post_mapping_statistics] 	counts-to-distance slope = -1.24453687677
TIME 	2016-04-06 21:58:00 	[post_mapping_statistics] 	step time for completion (seconds) = 786

INFO 	2016-04-06 21:58:09 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 21:58:09 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_761b84fec/results/mm10/filtered_reads
INFO 	2016-04-06 21:58:09 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_761b84fec/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-06 21:58:09 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_761b84fec/results/mm10/excluded_reads/self_circle
INFO 	2016-04-06 21:58:09 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_761b84fec/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 22:04:27 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 22:05:09 	[reads_filtering] 	step time for completion (seconds) = 427

INFO 	2016-04-06 22:05:11 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_761b84fec/plots/mm10/post_filtering_statistics:
INFO 	2016-04-06 22:05:11 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 22:05:11 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 22:05:11 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 22:14:35 	[post_filtering_statistics] 	step time for completion (seconds) = 564

INFO 	2016-04-06 22:14:37 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_761b84fec/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 22:29:56 	[index_contacts] 	step time for completion (seconds) = 919

INFO 	2016-04-06 22:30:01 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 24 files...
TIME 	2016-04-06 23:01:13 	[map_to_bam] 	step time for completion (seconds) = 1872

INFO 	2016-04-06 23:01:16 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0214/job_scripts/2165430: line 747: 44206 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-07 06:34:40 	[downstream_bam] 	step time for completion (seconds) = 27204

INFO 	2016-04-07 06:34:41 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-07 06:34:41 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_761b84fec/fastqs_processed
INFO 	2016-04-07 06:34:42 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_761b84fec/mapped_reads
TIME 	2016-04-07 06:34:47 	[clean_up] 	step time for completion (seconds) = 6


