
INFO 	2016-04-15 01:33:08 	[preliminary_checks] 	HindIII_T60 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-15 05:20:32 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/HindIII_T60/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-15 05:20:32 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/HindIII_T60/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-15 05:20:32 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/HindIII_T60/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-15 05:30:18 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-15 05:30:43 	[reads_filtering] 	step time for completion (seconds) = 618

INFO 	2016-04-15 05:30:45 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/HindIII_T60/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-15 05:30:45 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-15 05:30:45 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-15 05:30:45 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-15 05:38:41 	[post_filtering_statistics] 	step time for completion (seconds) = 476

INFO 	2016-04-15 05:38:44 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/HindIII_T60/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-15 05:48:24 	[index_contacts] 	step time for completion (seconds) = 580

INFO 	2016-04-15 05:48:29 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 24 files...
TIME 	2016-04-15 06:28:51 	[map_to_bam] 	step time for completion (seconds) = 2423

INFO 	2016-04-15 06:28:53 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-15 14:44:12 	[downstream_bam] 	step time for completion (seconds) = 29719

INFO 	2016-04-15 14:44:14 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-15 14:44:14 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/HindIII_T60/fastqs_processed
INFO 	2016-04-15 14:44:14 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/HindIII_T60/mapped_reads
TIME 	2016-04-15 14:44:18 	[clean_up] 	step time for completion (seconds) = 4


