
INFO 	2016-04-05 14:54:55 	[preliminary_checks] 	a1e46328c_51720e9cf found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 23:58:08 	[post_mapping_statistics] 	counts-to-distance slope = -1.25491297902
TIME 	2016-04-05 23:58:23 	[post_mapping_statistics] 	step time for completion (seconds) = 2171

INFO 	2016-04-05 23:58:45 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-05 23:58:45 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/results/hg38_mmtv/filtered_reads
INFO 	2016-04-05 23:58:45 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-05 23:58:45 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-05 23:58:45 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 00:17:46 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 00:20:09 	[reads_filtering] 	step time for completion (seconds) = 1303

INFO 	2016-04-06 00:20:11 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-06 00:20:11 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 00:20:11 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 00:20:11 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 00:41:01 	[post_filtering_statistics] 	step time for completion (seconds) = 1250

INFO 	2016-04-06 00:41:04 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 01:19:10 	[index_contacts] 	step time for completion (seconds) = 2286

INFO 	2016-04-06 01:19:12 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 71 files...
TIME 	2016-04-06 02:50:57 	[map_to_bam] 	step time for completion (seconds) = 5505

INFO 	2016-04-06 02:51:06 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-06 13:55:00 	[downstream_bam] 	step time for completion (seconds) = 39834

INFO 	2016-04-06 13:55:02 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-06 13:55:02 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/fastqs_processed
INFO 	2016-04-06 13:55:02 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/mapped_reads
TIME 	2016-04-06 13:55:03 	[clean_up] 	step time for completion (seconds) = 1


