
INFO 	2016-04-14 12:41:00 	[preliminary_checks] 	286589cb2_ac9f54f0a found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 14:23:13 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-14 14:28:18 	[post_filtering_statistics] 	step time for completion (seconds) = 305

INFO 	2016-04-14 14:28:21 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/286589cb2_ac9f54f0a/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-14 14:34:46 	[index_contacts] 	step time for completion (seconds) = 385

INFO 	2016-04-14 14:34:48 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 12 files...
TIME 	2016-04-14 14:50:48 	[map_to_bam] 	step time for completion (seconds) = 961

INFO 	2016-04-14 14:50:51 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0303/job_scripts/2271291: line 747: 49815 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-14 19:41:48 	[downstream_bam] 	step time for completion (seconds) = 17457

INFO 	2016-04-14 19:41:49 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-14 19:41:49 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/286589cb2_ac9f54f0a/fastqs_processed
INFO 	2016-04-14 19:41:49 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/286589cb2_ac9f54f0a/mapped_reads
TIME 	2016-04-14 19:41:54 	[clean_up] 	step time for completion (seconds) = 5


