
INFO 	2016-05-03 13:25:06 	[preliminary_checks] 	b742f3789_d8fdfbeba found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-05-04 14:13:50 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-05-04 14:13:50 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-05-04 14:13:50 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-05-04 15:10:42 	[post_filtering_statistics] 	step time for completion (seconds) = 3412

INFO 	2016-05-04 15:10:52 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d8fdfbeba/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-05-04 16:53:35 	[index_contacts] 	step time for completion (seconds) = 6163

INFO 	2016-05-04 16:53:49 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 184 files...
TIME 	2016-05-04 20:52:16 	[map_to_bam] 	step time for completion (seconds) = 14307

INFO 	2016-05-04 20:52:35 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-05-05 08:09:20 	[downstream_bam] 	step time for completion (seconds) = 40605


INFO 	2016-05-05 08:09:22 	[pipeline] 	completed successfully
TIME 	2016-05-05 08:09:22 	[pipeline] 	total time for completion (seconds) = 153885

