
INFO 	2016-04-04 15:09:56 	[preliminary_checks] 	eaed0e91e_2a3b69a85 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-04 16:22:02 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-04 16:22:02 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-05 00:15:47 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/logs/hg38_mmtv/eaed0e91e_2a3b69a85_align_and_merge_paired_end.log
TIME 	2016-04-05 00:18:41 	[align_and_merge] 	step time for completion (seconds) = 28603

INFO 	2016-04-05 00:18:54 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-05 00:54:44 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.874256581297
INFO 	2016-04-05 00:54:44 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.827951663885
INFO 	2016-04-05 00:54:44 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 126261438
INFO 	2016-04-05 00:54:44 	[post_mapping_statistics] 	counts-to-distance slope = -1.16385905886
TIME 	2016-04-05 00:54:59 	[post_mapping_statistics] 	step time for completion (seconds) = 2165

INFO 	2016-04-05 00:55:20 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-05 00:55:20 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/results/hg38_mmtv/filtered_reads
INFO 	2016-04-05 00:55:20 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-05 00:55:20 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-05 00:55:20 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-05 01:14:53 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-05 01:16:58 	[reads_filtering] 	step time for completion (seconds) = 1317

INFO 	2016-04-05 01:17:00 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-05 01:17:00 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-05 01:17:00 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-05 01:17:00 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-05 01:38:38 	[post_filtering_statistics] 	step time for completion (seconds) = 1298

INFO 	2016-04-05 01:38:40 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-05 02:20:10 	[index_contacts] 	step time for completion (seconds) = 2490

INFO 	2016-04-05 02:20:25 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 71 files...
TIME 	2016-04-05 03:55:47 	[map_to_bam] 	step time for completion (seconds) = 5722

INFO 	2016-04-05 03:56:03 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-05 05:32:25 	[downstream_bam] 	step time for completion (seconds) = 5782


