
INFO 	2016-04-06 09:05:01 	[preliminary_checks] 	4ca65de60_707096ecf found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 17:45:11 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 17:45:11 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 18:07:47 	[post_filtering_statistics] 	step time for completion (seconds) = 1356

INFO 	2016-04-06 18:07:48 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/4ca65de60_707096ecf/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 18:47:07 	[index_contacts] 	step time for completion (seconds) = 2359

INFO 	2016-04-06 18:47:19 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 72 files...
TIME 	2016-04-06 20:19:38 	[map_to_bam] 	step time for completion (seconds) = 5539

INFO 	2016-04-06 20:19:41 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-07 07:30:15 	[downstream_bam] 	step time for completion (seconds) = 40234

INFO 	2016-04-07 07:30:16 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-07 07:30:16 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/4ca65de60_707096ecf/fastqs_processed
INFO 	2016-04-07 07:30:16 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/4ca65de60_707096ecf/mapped_reads
TIME 	2016-04-07 07:30:17 	[clean_up] 	step time for completion (seconds) = 1


