
INFO 	2016-05-03 13:25:27 	[preliminary_checks] 	b742f3789_80eedabee found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-05-04 11:41:26 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-05-04 11:41:26 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-05-04 12:37:06 	[post_filtering_statistics] 	step time for completion (seconds) = 3340

INFO 	2016-05-04 12:37:16 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_80eedabee/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-05-04 14:14:37 	[index_contacts] 	step time for completion (seconds) = 5841

INFO 	2016-05-04 14:14:41 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 173 files...
TIME 	2016-05-04 17:59:36 	[map_to_bam] 	step time for completion (seconds) = 13495

INFO 	2016-05-04 17:59:49 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-05-05 05:43:13 	[downstream_bam] 	step time for completion (seconds) = 42204


INFO 	2016-05-05 05:43:14 	[pipeline] 	completed successfully
TIME 	2016-05-05 05:43:15 	[pipeline] 	total time for completion (seconds) = 145093

