
INFO 	2016-04-13 10:43:02 	[preliminary_checks] 	8b706b410_92b2943b1 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-13 11:59:33 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/8b706b410_92b2943b1/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-13 12:01:56 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-13 12:02:04 	[reads_filtering] 	step time for completion (seconds) = 154

INFO 	2016-04-13 12:02:05 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/8b706b410_92b2943b1/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-13 12:02:05 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-13 12:02:05 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-13 12:02:05 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-13 12:06:12 	[post_filtering_statistics] 	step time for completion (seconds) = 247

INFO 	2016-04-13 12:06:15 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/8b706b410_92b2943b1/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-13 12:11:08 	[index_contacts] 	step time for completion (seconds) = 293

INFO 	2016-04-13 12:11:10 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 8 files...
TIME 	2016-04-13 12:21:39 	[map_to_bam] 	step time for completion (seconds) = 629

INFO 	2016-04-13 12:21:50 	[downstream_bam] 	perform several downstream analyses
