
INFO 	2016-04-15 03:22:24 	[preliminary_checks] 	d4e07ef90_0e24fcc35 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-15 04:23:00 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/d4e07ef90_0e24fcc35/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-15 04:23:00 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-15 04:23:00 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 3378

INFO 	2016-04-15 04:23:07 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-15 04:23:07 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-15 04:23:07 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-15 04:23:07 	[align_and_merge] 	read length = 76
INFO 	2016-04-15 04:23:08 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-15 04:23:08 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-15 11:33:15 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/d4e07ef90_0e24fcc35/logs/hg38_mmtv/d4e07ef90_0e24fcc35_align_and_merge_paired_end.log
TIME 	2016-04-15 11:35:16 	[align_and_merge] 	step time for completion (seconds) = 25934

INFO 	2016-04-15 11:35:32 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-15 12:06:18 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.854924226255
INFO 	2016-04-15 12:06:18 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.778390695005
INFO 	2016-04-15 12:06:18 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 104404393
INFO 	2016-04-15 12:06:18 	[post_mapping_statistics] 	counts-to-distance slope = -1.16385731949
TIME 	2016-04-15 12:06:26 	[post_mapping_statistics] 	step time for completion (seconds) = 1854

INFO 	2016-04-15 12:06:44 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-15 12:06:44 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/d4e07ef90_0e24fcc35/results/hg38_mmtv/filtered_reads
INFO 	2016-04-15 12:06:44 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/d4e07ef90_0e24fcc35/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-15 12:06:44 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/d4e07ef90_0e24fcc35/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-15 12:06:44 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/d4e07ef90_0e24fcc35/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-15 12:23:12 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-15 12:25:24 	[reads_filtering] 	step time for completion (seconds) = 1136

INFO 	2016-04-15 12:25:26 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/d4e07ef90_0e24fcc35/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-15 12:25:26 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-15 12:25:26 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-15 12:25:26 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-15 12:43:51 	[post_filtering_statistics] 	step time for completion (seconds) = 1105

INFO 	2016-04-15 12:43:54 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/d4e07ef90_0e24fcc35/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-15 13:16:38 	[index_contacts] 	step time for completion (seconds) = 1964

INFO 	2016-04-15 13:16:41 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 58 files...
TIME 	2016-04-15 14:33:44 	[map_to_bam] 	step time for completion (seconds) = 4623

INFO 	2016-04-15 14:33:57 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-16 03:27:01 	[downstream_bam] 	step time for completion (seconds) = 46384

INFO 	2016-04-16 03:27:03 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-16 03:27:03 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/d4e07ef90_0e24fcc35/fastqs_processed
INFO 	2016-04-16 03:27:03 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/d4e07ef90_0e24fcc35/mapped_reads
TIME 	2016-04-16 03:27:03 	[clean_up] 	step time for completion (seconds) = 0


