
INFO 	2016-04-15 01:37:48 	[preliminary_checks] 	e4aa8d54f_0e24fcc35 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-15 02:41:11 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_0e24fcc35/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-15 02:41:11 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-15 02:41:11 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 3595

INFO 	2016-04-15 02:41:17 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-15 02:41:17 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-15 02:41:17 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-15 02:41:17 	[align_and_merge] 	read length = 76
INFO 	2016-04-15 02:41:17 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-15 02:41:17 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-15 10:29:26 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_0e24fcc35/logs/hg38_mmtv/e4aa8d54f_0e24fcc35_align_and_merge_paired_end.log
TIME 	2016-04-15 10:31:08 	[align_and_merge] 	step time for completion (seconds) = 28195

INFO 	2016-04-15 10:31:25 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-15 10:59:08 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.87563101943
INFO 	2016-04-15 10:59:08 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.679310010839
INFO 	2016-04-15 10:59:08 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 94796204
INFO 	2016-04-15 10:59:08 	[post_mapping_statistics] 	counts-to-distance slope = -1.20604632883
TIME 	2016-04-15 10:59:18 	[post_mapping_statistics] 	step time for completion (seconds) = 1673

INFO 	2016-04-15 10:59:35 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-15 10:59:35 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_0e24fcc35/results/hg38_mmtv/filtered_reads
INFO 	2016-04-15 10:59:35 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_0e24fcc35/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-15 10:59:35 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_0e24fcc35/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-15 10:59:35 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_0e24fcc35/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-15 11:13:53 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-15 11:15:32 	[reads_filtering] 	step time for completion (seconds) = 972

INFO 	2016-04-15 11:15:37 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_0e24fcc35/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-15 11:15:37 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-15 11:15:37 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-15 11:15:37 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-15 11:33:02 	[post_filtering_statistics] 	step time for completion (seconds) = 1045

INFO 	2016-04-15 11:33:16 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_0e24fcc35/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-15 12:05:46 	[index_contacts] 	step time for completion (seconds) = 1951

INFO 	2016-04-15 12:05:51 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 52 files...
TIME 	2016-04-15 13:17:23 	[map_to_bam] 	step time for completion (seconds) = 4292

INFO 	2016-04-15 13:17:40 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-16 01:20:33 	[downstream_bam] 	step time for completion (seconds) = 43373

INFO 	2016-04-16 01:20:38 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-16 01:20:38 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_0e24fcc35/fastqs_processed
INFO 	2016-04-16 01:20:38 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_0e24fcc35/mapped_reads
TIME 	2016-04-16 01:20:39 	[clean_up] 	step time for completion (seconds) = 1


