
INFO 	2016-04-08 13:18:14 	[preliminary_checks] 	fc3e8b36a_c3cf37482 found in /users/project/4DGenome/data/4DGenome_metadata.db
TIME 	2016-04-09 05:58:17 	[post_mapping_statistics] 	step time for completion (seconds) = 3652

INFO 	2016-04-09 05:58:52 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-09 05:58:52 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_c3cf37482/results/mm10/filtered_reads
INFO 	2016-04-09 05:58:52 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_c3cf37482/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-09 05:58:52 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_c3cf37482/results/mm10/excluded_reads/self_circle
INFO 	2016-04-09 05:58:52 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_c3cf37482/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-09 06:29:49 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-09 06:33:09 	[reads_filtering] 	step time for completion (seconds) = 2091

INFO 	2016-04-09 06:33:18 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_c3cf37482/plots/mm10/post_filtering_statistics:
INFO 	2016-04-09 06:33:18 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-09 06:33:18 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-09 06:33:18 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-09 07:15:19 	[post_filtering_statistics] 	step time for completion (seconds) = 2521

INFO 	2016-04-09 07:15:21 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_c3cf37482/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-09 08:29:50 	[index_contacts] 	step time for completion (seconds) = 4469

INFO 	2016-04-09 08:30:07 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 127 files...
TIME 	2016-04-09 10:54:52 	[map_to_bam] 	step time for completion (seconds) = 8685

INFO 	2016-04-09 10:55:05 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-09 21:15:48 	[downstream_bam] 	step time for completion (seconds) = 37243

INFO 	2016-04-09 21:15:49 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 21:15:49 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_c3cf37482/fastqs_processed
INFO 	2016-04-09 21:15:49 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_c3cf37482/mapped_reads
TIME 	2016-04-09 21:15:50 	[clean_up] 	step time for completion (seconds) = 1


