
INFO 	2016-04-06 06:14:48 	[preliminary_checks] 	fc3e8b36a_95f36c69d found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 10:18:09 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 23 files...
TIME 	2016-04-06 10:45:25 	[map_to_bam] 	step time for completion (seconds) = 1636

INFO 	2016-04-06 10:45:27 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0115/job_scripts/2164923: line 747: 46452 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-06 18:05:36 	[downstream_bam] 	step time for completion (seconds) = 26409

INFO 	2016-04-06 18:05:38 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-06 18:05:38 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_95f36c69d/fastqs_processed
INFO 	2016-04-06 18:05:38 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_95f36c69d/mapped_reads
TIME 	2016-04-06 18:05:44 	[clean_up] 	step time for completion (seconds) = 6


