
INFO 	2016-04-08 10:07:47 	[preliminary_checks] 	b742f3789_128e263fa found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-09 04:06:52 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.828008959033
INFO 	2016-04-09 04:06:52 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 217373141
INFO 	2016-04-09 04:06:52 	[post_mapping_statistics] 	counts-to-distance slope = -1.00808291492
TIME 	2016-04-09 04:07:14 	[post_mapping_statistics] 	step time for completion (seconds) = 3722

INFO 	2016-04-09 04:07:48 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-09 04:07:48 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_128e263fa/results/mm10/filtered_reads
INFO 	2016-04-09 04:07:48 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_128e263fa/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-09 04:07:48 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_128e263fa/results/mm10/excluded_reads/self_circle
INFO 	2016-04-09 04:07:48 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_128e263fa/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-09 04:39:55 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-09 04:43:45 	[reads_filtering] 	step time for completion (seconds) = 2189

INFO 	2016-04-09 04:43:48 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_128e263fa/plots/mm10/post_filtering_statistics:
INFO 	2016-04-09 04:43:48 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-09 04:43:48 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-09 04:43:48 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-09 05:21:28 	[post_filtering_statistics] 	step time for completion (seconds) = 2260

INFO 	2016-04-09 05:21:36 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_128e263fa/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-09 06:34:13 	[index_contacts] 	step time for completion (seconds) = 4357

INFO 	2016-04-09 06:34:30 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 121 files...
TIME 	2016-04-09 09:24:38 	[map_to_bam] 	step time for completion (seconds) = 10208

INFO 	2016-04-09 09:24:41 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-09 19:52:08 	[downstream_bam] 	step time for completion (seconds) = 37647

INFO 	2016-04-09 19:52:09 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 19:52:09 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_128e263fa/fastqs_processed
INFO 	2016-04-09 19:52:09 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_128e263fa/mapped_reads
TIME 	2016-04-09 19:52:10 	[clean_up] 	step time for completion (seconds) = 1


