
INFO 	2016-04-13 12:57:13 	[preliminary_checks] 	2d656cab7_1de577577 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-13 14:12:05 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/2d656cab7_1de577577/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-13 14:14:48 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-13 14:14:56 	[reads_filtering] 	step time for completion (seconds) = 173

INFO 	2016-04-13 14:14:57 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/2d656cab7_1de577577/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-13 14:14:57 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-13 14:14:58 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-13 14:14:58 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-13 14:19:30 	[post_filtering_statistics] 	step time for completion (seconds) = 273

INFO 	2016-04-13 14:19:32 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/2d656cab7_1de577577/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-13 14:24:52 	[index_contacts] 	step time for completion (seconds) = 320

INFO 	2016-04-13 14:24:54 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 10 files...
TIME 	2016-04-13 14:36:32 	[map_to_bam] 	step time for completion (seconds) = 698

INFO 	2016-04-13 14:36:35 	[downstream_bam] 	perform several downstream analyses
