
INFO 	2016-04-13 11:43:21 	[preliminary_checks] 	b1913e6c1_92b2943b1 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-13 13:14:53 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-13 13:20:11 	[post_filtering_statistics] 	step time for completion (seconds) = 318

INFO 	2016-04-13 13:20:12 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_92b2943b1/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-13 13:26:19 	[index_contacts] 	step time for completion (seconds) = 367

INFO 	2016-04-13 13:26:21 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 11 files...
TIME 	2016-04-13 13:38:59 	[map_to_bam] 	step time for completion (seconds) = 759

INFO 	2016-04-13 13:39:01 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0204/job_scripts/2269582: line 747: 46038 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-13 18:32:21 	[downstream_bam] 	step time for completion (seconds) = 17600

INFO 	2016-04-13 18:32:23 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-13 18:32:23 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_92b2943b1/fastqs_processed
INFO 	2016-04-13 18:32:23 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_92b2943b1/mapped_reads
TIME 	2016-04-13 18:32:26 	[clean_up] 	step time for completion (seconds) = 3


