
INFO 	2016-04-14 11:06:22 	[preliminary_checks] 	752cd3e86_ac9f54f0a found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 12:40:03 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/752cd3e86_ac9f54f0a/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-14 12:40:03 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/752cd3e86_ac9f54f0a/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-14 12:40:03 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/752cd3e86_ac9f54f0a/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-14 12:43:45 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-14 12:43:59 	[reads_filtering] 	step time for completion (seconds) = 239

INFO 	2016-04-14 12:44:00 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/752cd3e86_ac9f54f0a/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-14 12:44:00 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-14 12:44:00 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-14 12:44:00 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-14 12:49:28 	[post_filtering_statistics] 	step time for completion (seconds) = 328

INFO 	2016-04-14 12:49:30 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/752cd3e86_ac9f54f0a/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-14 12:56:20 	[index_contacts] 	step time for completion (seconds) = 410

INFO 	2016-04-14 12:56:22 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 12 files...
TIME 	2016-04-14 13:12:28 	[map_to_bam] 	step time for completion (seconds) = 966

INFO 	2016-04-14 13:12:30 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0308/job_scripts/2271289: line 747:  6837 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-14 18:49:46 	[downstream_bam] 	step time for completion (seconds) = 20236

INFO 	2016-04-14 18:49:48 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-14 18:49:48 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/752cd3e86_ac9f54f0a/fastqs_processed
INFO 	2016-04-14 18:49:48 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/752cd3e86_ac9f54f0a/mapped_reads
TIME 	2016-04-14 18:49:50 	[clean_up] 	step time for completion (seconds) = 2


