
INFO 	2016-04-13 15:39:51 	[preliminary_checks] 	b742f3789_d8fa94d88 found in /users/project/4DGenome/data/4DGenome_metadata.db
TIME 	2016-04-13 19:06:08 	[reads_filtering] 	step time for completion (seconds) = 388

INFO 	2016-04-13 19:06:10 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d8fa94d88/plots/mm10/post_filtering_statistics:
INFO 	2016-04-13 19:06:10 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-13 19:06:10 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-13 19:06:10 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-13 19:13:57 	[post_filtering_statistics] 	step time for completion (seconds) = 467

INFO 	2016-04-13 19:13:59 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d8fa94d88/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-13 19:26:35 	[index_contacts] 	step time for completion (seconds) = 756

INFO 	2016-04-13 19:26:37 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 21 files...
TIME 	2016-04-13 19:53:53 	[map_to_bam] 	step time for completion (seconds) = 1636

INFO 	2016-04-13 19:53:55 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0408/job_scripts/2269671: line 747:  7538 Aborted                 (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-14 03:43:08 	[downstream_bam] 	step time for completion (seconds) = 28153

INFO 	2016-04-14 03:43:09 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-14 03:43:09 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d8fa94d88/fastqs_processed
INFO 	2016-04-14 03:43:09 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d8fa94d88/mapped_reads
TIME 	2016-04-14 03:43:13 	[clean_up] 	step time for completion (seconds) = 4


