
INFO 	2016-04-14 11:06:30 	[preliminary_checks] 	8276ee842_ac9f54f0a found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 11:20:12 	[align_and_merge] 	read length = 76
INFO 	2016-04-14 11:20:12 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-14 11:20:12 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-14 12:38:09 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/8276ee842_ac9f54f0a/logs/hg38_mmtv/8276ee842_ac9f54f0a_align_and_merge_paired_end.log
TIME 	2016-04-14 12:38:37 	[align_and_merge] 	step time for completion (seconds) = 4710

INFO 	2016-04-14 12:38:49 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-14 12:47:06 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.850363312504
INFO 	2016-04-14 12:47:06 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.793922512416
INFO 	2016-04-14 12:47:06 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 22186421
INFO 	2016-04-14 12:47:06 	[post_mapping_statistics] 	counts-to-distance slope = -1.21338737265
TIME 	2016-04-14 12:47:14 	[post_mapping_statistics] 	step time for completion (seconds) = 505

INFO 	2016-04-14 12:47:19 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-14 12:47:19 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/8276ee842_ac9f54f0a/results/hg38_mmtv/filtered_reads
INFO 	2016-04-14 12:47:19 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/8276ee842_ac9f54f0a/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-14 12:47:19 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/8276ee842_ac9f54f0a/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-14 12:47:19 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/8276ee842_ac9f54f0a/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-14 12:51:20 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-14 12:51:42 	[reads_filtering] 	step time for completion (seconds) = 266

INFO 	2016-04-14 12:51:44 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/8276ee842_ac9f54f0a/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-14 12:51:44 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-14 12:51:44 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-14 12:51:44 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-14 12:57:08 	[post_filtering_statistics] 	step time for completion (seconds) = 324

INFO 	2016-04-14 12:57:10 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/8276ee842_ac9f54f0a/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-14 13:04:30 	[index_contacts] 	step time for completion (seconds) = 440

INFO 	2016-04-14 13:04:32 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 12 files...
TIME 	2016-04-14 13:20:38 	[map_to_bam] 	step time for completion (seconds) = 966

INFO 	2016-04-14 13:20:40 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0414/job_scripts/2271287: line 747: 65208 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-14 18:41:21 	[downstream_bam] 	step time for completion (seconds) = 19241

INFO 	2016-04-14 18:41:22 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-14 18:41:22 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/8276ee842_ac9f54f0a/fastqs_processed
INFO 	2016-04-14 18:41:22 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/8276ee842_ac9f54f0a/mapped_reads
TIME 	2016-04-14 18:41:27 	[clean_up] 	step time for completion (seconds) = 5


