
INFO 	2016-04-05 14:38:03 	[preliminary_checks] 	dc3a1e069_51720e9cf found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 19:50:55 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_51720e9cf/logs/hg38_mmtv/dc3a1e069_51720e9cf_align_and_merge_paired_end.log
TIME 	2016-04-05 19:52:11 	[align_and_merge] 	step time for completion (seconds) = 16042

INFO 	2016-04-05 19:52:20 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-05 20:15:04 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.878023105354
INFO 	2016-04-05 20:15:04 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.761779200515
INFO 	2016-04-05 20:15:04 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 77777126
INFO 	2016-04-05 20:15:04 	[post_mapping_statistics] 	counts-to-distance slope = -1.20053753276
TIME 	2016-04-05 20:15:13 	[post_mapping_statistics] 	step time for completion (seconds) = 1373

INFO 	2016-04-05 20:15:26 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-05 20:15:26 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_51720e9cf/results/hg38_mmtv/filtered_reads
INFO 	2016-04-05 20:15:26 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_51720e9cf/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-05 20:15:26 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_51720e9cf/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-05 20:15:26 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_51720e9cf/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-05 20:26:43 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-05 20:27:43 	[reads_filtering] 	step time for completion (seconds) = 748

INFO 	2016-04-05 20:27:45 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_51720e9cf/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-05 20:27:45 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-05 20:27:45 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-05 20:27:45 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-05 20:42:42 	[post_filtering_statistics] 	step time for completion (seconds) = 897

INFO 	2016-04-05 20:42:44 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_51720e9cf/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-05 21:06:50 	[index_contacts] 	step time for completion (seconds) = 1446

INFO 	2016-04-05 21:06:52 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 44 files...
TIME 	2016-04-05 21:57:00 	[map_to_bam] 	step time for completion (seconds) = 3008

INFO 	2016-04-05 21:57:03 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-06 09:03:52 	[downstream_bam] 	step time for completion (seconds) = 40009

INFO 	2016-04-06 09:03:54 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-06 09:03:54 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_51720e9cf/fastqs_processed
INFO 	2016-04-06 09:03:54 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_51720e9cf/mapped_reads
TIME 	2016-04-06 09:03:56 	[clean_up] 	step time for completion (seconds) = 2


