
INFO 	2016-04-13 15:16:15 	[preliminary_checks] 	9a7c4a68d_db4f304ee found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-13 23:54:00 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_db4f304ee/logs/hg38_mmtv/9a7c4a68d_db4f304ee_align_and_merge_paired_end.log
TIME 	2016-04-13 23:55:50 	[align_and_merge] 	step time for completion (seconds) = 27500

INFO 	2016-04-13 23:56:04 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-14 00:22:46 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.863004214461
INFO 	2016-04-14 00:22:46 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.652056798734
INFO 	2016-04-14 00:22:46 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 90744962
INFO 	2016-04-14 00:22:46 	[post_mapping_statistics] 	counts-to-distance slope = -1.22285179684
TIME 	2016-04-14 00:22:51 	[post_mapping_statistics] 	step time for completion (seconds) = 1608

INFO 	2016-04-14 00:23:05 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-14 00:23:05 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_db4f304ee/results/hg38_mmtv/filtered_reads
INFO 	2016-04-14 00:23:05 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_db4f304ee/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-14 00:23:05 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_db4f304ee/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-14 00:23:05 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_db4f304ee/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-14 00:36:26 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-14 00:37:16 	[reads_filtering] 	step time for completion (seconds) = 864

INFO 	2016-04-14 00:37:17 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_db4f304ee/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-14 00:37:17 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-14 00:37:17 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-14 00:37:17 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-14 00:55:02 	[post_filtering_statistics] 	step time for completion (seconds) = 1065

INFO 	2016-04-14 00:55:03 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_db4f304ee/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-14 01:25:32 	[index_contacts] 	step time for completion (seconds) = 1829

INFO 	2016-04-14 01:25:33 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 50 files...
TIME 	2016-04-14 02:25:14 	[map_to_bam] 	step time for completion (seconds) = 3581

INFO 	2016-04-14 02:25:16 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-14 13:09:19 	[downstream_bam] 	step time for completion (seconds) = 38643

INFO 	2016-04-14 13:09:20 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-14 13:09:20 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_db4f304ee/fastqs_processed
INFO 	2016-04-14 13:09:20 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_db4f304ee/mapped_reads
TIME 	2016-04-14 13:09:22 	[clean_up] 	step time for completion (seconds) = 2


