
INFO 	2016-04-08 10:07:41 	[preliminary_checks] 	b742f3789_37b77d82a found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 12:22:38 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-08 12:22:38 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_37b77d82a/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-08 12:22:38 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-08 12:22:38 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 7658

INFO 	2016-04-08 12:22:44 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-08 12:22:44 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-08 12:22:44 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-08 12:22:44 	[align_and_merge] 	read length = 75
INFO 	2016-04-08 12:22:44 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 12:22:44 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-09 04:30:54 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_37b77d82a/logs/mm10/b742f3789_37b77d82a_align_and_merge_paired_end.log
TIME 	2016-04-09 04:35:01 	[align_and_merge] 	step time for completion (seconds) = 58342

INFO 	2016-04-09 04:35:40 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-09 05:42:09 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.85451519901
INFO 	2016-04-09 05:42:09 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.848495309385
INFO 	2016-04-09 05:42:09 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 233139367
INFO 	2016-04-09 05:42:09 	[post_mapping_statistics] 	counts-to-distance slope = -1.0878126887
TIME 	2016-04-09 05:42:18 	[post_mapping_statistics] 	step time for completion (seconds) = 3998

INFO 	2016-04-09 05:42:55 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-09 05:42:55 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_37b77d82a/results/mm10/filtered_reads
INFO 	2016-04-09 05:42:55 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_37b77d82a/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-09 05:42:55 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_37b77d82a/results/mm10/excluded_reads/self_circle
INFO 	2016-04-09 05:42:55 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_37b77d82a/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-09 06:16:19 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-09 06:19:33 	[reads_filtering] 	step time for completion (seconds) = 2233

INFO 	2016-04-09 06:19:35 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_37b77d82a/plots/mm10/post_filtering_statistics:
INFO 	2016-04-09 06:19:35 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-09 06:19:35 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-09 06:19:35 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-09 07:02:26 	[post_filtering_statistics] 	step time for completion (seconds) = 2571

INFO 	2016-04-09 07:02:40 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_37b77d82a/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-09 08:21:36 	[index_contacts] 	step time for completion (seconds) = 4736

INFO 	2016-04-09 08:21:52 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 133 files...
TIME 	2016-04-09 11:16:45 	[map_to_bam] 	step time for completion (seconds) = 10494

INFO 	2016-04-09 11:16:58 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-09 21:48:32 	[downstream_bam] 	step time for completion (seconds) = 37894

INFO 	2016-04-09 21:48:34 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 21:48:34 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_37b77d82a/fastqs_processed
INFO 	2016-04-09 21:48:34 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_37b77d82a/mapped_reads
TIME 	2016-04-09 21:48:35 	[clean_up] 	step time for completion (seconds) = 1


