
INFO 	2016-04-08 13:15:18 	[preliminary_checks] 	fc3e8b36a_4ff2182a3 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-09 06:54:13 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-09 08:00:47 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.853302173359
INFO 	2016-04-09 08:00:47 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.849003470653
INFO 	2016-04-09 08:00:47 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 235959375
INFO 	2016-04-09 08:00:47 	[post_mapping_statistics] 	counts-to-distance slope = -1.24519236087
TIME 	2016-04-09 08:01:06 	[post_mapping_statistics] 	step time for completion (seconds) = 4014

INFO 	2016-04-09 08:01:45 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-09 08:01:45 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4ff2182a3/results/mm10/filtered_reads
INFO 	2016-04-09 08:01:45 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4ff2182a3/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-09 08:01:45 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4ff2182a3/results/mm10/excluded_reads/self_circle
INFO 	2016-04-09 08:01:45 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4ff2182a3/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-09 08:36:08 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-09 08:40:24 	[reads_filtering] 	step time for completion (seconds) = 2356

INFO 	2016-04-09 08:40:27 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4ff2182a3/plots/mm10/post_filtering_statistics:
INFO 	2016-04-09 08:40:27 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-09 08:40:27 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-09 08:40:27 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-09 09:26:59 	[post_filtering_statistics] 	step time for completion (seconds) = 2793

INFO 	2016-04-09 09:27:08 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4ff2182a3/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-09 10:49:44 	[index_contacts] 	step time for completion (seconds) = 4956

INFO 	2016-04-09 10:49:55 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 140 files...
TIME 	2016-04-09 13:38:51 	[map_to_bam] 	step time for completion (seconds) = 10137

INFO 	2016-04-09 13:39:03 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-10 00:28:43 	[downstream_bam] 	step time for completion (seconds) = 38980

INFO 	2016-04-10 00:28:45 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-10 00:28:45 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4ff2182a3/fastqs_processed
INFO 	2016-04-10 00:28:45 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4ff2182a3/mapped_reads
TIME 	2016-04-10 00:28:45 	[clean_up] 	step time for completion (seconds) = 0


