
INFO 	2016-04-08 13:18:25 	[preliminary_checks] 	b7fa2d8db_f95e85d16 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-09 04:57:56 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_f95e85d16/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-09 05:59:16 	[index_contacts] 	step time for completion (seconds) = 3680

INFO 	2016-04-09 05:59:39 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 105 files...
TIME 	2016-04-09 08:04:34 	[map_to_bam] 	step time for completion (seconds) = 7496

INFO 	2016-04-09 08:04:50 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0215/job_scripts/2168482: line 747: 31713 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-09 18:05:32 	[downstream_bam] 	step time for completion (seconds) = 36042

INFO 	2016-04-09 18:05:34 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 18:05:34 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_f95e85d16/fastqs_processed
INFO 	2016-04-09 18:05:34 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_f95e85d16/mapped_reads
TIME 	2016-04-09 18:05:34 	[clean_up] 	step time for completion (seconds) = 0


