
INFO 	2016-04-05 18:21:22 	[preliminary_checks] 	f8a4ad91d_c478f1d09 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 19:35:54 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-05 19:35:54 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-05 19:35:54 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-05 19:35:54 	[align_and_merge] 	read length = 75
INFO 	2016-04-05 19:35:54 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 19:35:55 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 03:58:10 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/f8a4ad91d_c478f1d09/logs/hg38_mmtv/f8a4ad91d_c478f1d09_align_and_merge_paired_end.log
TIME 	2016-04-06 04:00:07 	[align_and_merge] 	step time for completion (seconds) = 30257

INFO 	2016-04-06 04:00:17 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 04:37:21 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.847246729985
INFO 	2016-04-06 04:37:21 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.837137534372
INFO 	2016-04-06 04:37:21 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 143714418
INFO 	2016-04-06 04:37:21 	[post_mapping_statistics] 	counts-to-distance slope = -1.2120207726
TIME 	2016-04-06 04:37:28 	[post_mapping_statistics] 	step time for completion (seconds) = 2231

INFO 	2016-04-06 04:37:50 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 04:37:50 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/f8a4ad91d_c478f1d09/results/hg38_mmtv/filtered_reads
INFO 	2016-04-06 04:37:50 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/f8a4ad91d_c478f1d09/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-06 04:37:50 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/f8a4ad91d_c478f1d09/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-06 04:37:50 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/f8a4ad91d_c478f1d09/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 04:58:27 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 05:00:32 	[reads_filtering] 	step time for completion (seconds) = 1382

INFO 	2016-04-06 05:00:34 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/f8a4ad91d_c478f1d09/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-06 05:00:34 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 05:00:34 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 05:00:34 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 05:23:12 	[post_filtering_statistics] 	step time for completion (seconds) = 1358

INFO 	2016-04-06 05:23:15 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/f8a4ad91d_c478f1d09/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 06:02:48 	[index_contacts] 	step time for completion (seconds) = 2373

INFO 	2016-04-06 06:02:50 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 78 files...
TIME 	2016-04-06 07:44:47 	[map_to_bam] 	step time for completion (seconds) = 6117

INFO 	2016-04-06 07:45:05 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-06 18:48:49 	[downstream_bam] 	step time for completion (seconds) = 39824

INFO 	2016-04-06 18:48:51 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-06 18:48:51 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/f8a4ad91d_c478f1d09/fastqs_processed
INFO 	2016-04-06 18:48:51 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/f8a4ad91d_c478f1d09/mapped_reads
TIME 	2016-04-06 18:48:52 	[clean_up] 	step time for completion (seconds) = 1


