
INFO 	2016-04-06 16:17:00 	[preliminary_checks] 	b7fa2d8db_0e5ee7d46 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 21:36:04 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_0e5ee7d46/results/mm10/filtered_reads
INFO 	2016-04-06 21:36:04 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_0e5ee7d46/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-06 21:36:04 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_0e5ee7d46/results/mm10/excluded_reads/self_circle
INFO 	2016-04-06 21:36:04 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_0e5ee7d46/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 21:43:39 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 21:44:09 	[reads_filtering] 	step time for completion (seconds) = 492

INFO 	2016-04-06 21:44:11 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_0e5ee7d46/plots/mm10/post_filtering_statistics:
INFO 	2016-04-06 21:44:11 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 21:44:11 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 21:44:11 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 21:51:47 	[post_filtering_statistics] 	step time for completion (seconds) = 456

INFO 	2016-04-06 21:51:49 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_0e5ee7d46/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 22:02:51 	[index_contacts] 	step time for completion (seconds) = 662

INFO 	2016-04-06 22:02:53 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 28 files...
TIME 	2016-04-06 22:35:30 	[map_to_bam] 	step time for completion (seconds) = 1957

INFO 	2016-04-06 22:35:32 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0108/job_scripts/2165422: line 747: 63513 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-07 06:19:51 	[downstream_bam] 	step time for completion (seconds) = 27859

INFO 	2016-04-07 06:19:52 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-07 06:19:52 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_0e5ee7d46/fastqs_processed
INFO 	2016-04-07 06:19:52 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_0e5ee7d46/mapped_reads
TIME 	2016-04-07 06:19:57 	[clean_up] 	step time for completion (seconds) = 5


