
INFO 	2016-04-05 22:16:10 	[preliminary_checks] 	ad1a9f5b0_df6973bc7 found in /users/project/4DGenome/data/4DGenome_metadata.db
TIME 	2016-04-06 01:39:11 	[post_filtering_statistics] 	step time for completion (seconds) = 466

INFO 	2016-04-06 01:39:13 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/ad1a9f5b0_df6973bc7/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 01:50:36 	[index_contacts] 	step time for completion (seconds) = 683

INFO 	2016-04-06 01:50:41 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 23 files...
TIME 	2016-04-06 02:18:38 	[map_to_bam] 	step time for completion (seconds) = 1677

INFO 	2016-04-06 02:18:41 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-06 09:41:13 	[downstream_bam] 	step time for completion (seconds) = 26552

INFO 	2016-04-06 09:41:15 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-06 09:41:15 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/ad1a9f5b0_df6973bc7/fastqs_processed
INFO 	2016-04-06 09:41:15 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/ad1a9f5b0_df6973bc7/mapped_reads
TIME 	2016-04-06 09:41:22 	[clean_up] 	step time for completion (seconds) = 7


