
INFO 	2016-04-14 03:44:51 	[preliminary_checks] 	e22e868a9_869faec68 found in /users/project/4DGenome/data/4DGenome_metadata.db
TIME 	2016-04-14 05:43:05 	[align_and_merge] 	step time for completion (seconds) = 6038

INFO 	2016-04-14 05:43:11 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-14 05:54:48 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.934733923551
INFO 	2016-04-14 05:54:48 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.91013608937
INFO 	2016-04-14 05:54:48 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 31401652
INFO 	2016-04-14 05:54:48 	[post_mapping_statistics] 	counts-to-distance slope = -1.13804981216
TIME 	2016-04-14 05:55:04 	[post_mapping_statistics] 	step time for completion (seconds) = 713

INFO 	2016-04-14 05:55:11 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-14 05:55:11 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_869faec68/results/hg38_mmtv/filtered_reads
INFO 	2016-04-14 05:55:11 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_869faec68/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-14 05:55:11 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_869faec68/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-14 05:55:11 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_869faec68/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-14 06:00:52 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-14 06:01:15 	[reads_filtering] 	step time for completion (seconds) = 370

INFO 	2016-04-14 06:01:16 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_869faec68/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-14 06:01:16 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-14 06:01:16 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-14 06:01:16 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-14 06:09:34 	[post_filtering_statistics] 	step time for completion (seconds) = 498

INFO 	2016-04-14 06:09:36 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_869faec68/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-14 06:21:37 	[index_contacts] 	step time for completion (seconds) = 721

INFO 	2016-04-14 06:21:39 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 21 files...
TIME 	2016-04-14 06:47:30 	[map_to_bam] 	step time for completion (seconds) = 1551

INFO 	2016-04-14 06:47:42 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-14 14:06:59 	[downstream_bam] 	step time for completion (seconds) = 26357

INFO 	2016-04-14 14:07:00 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-14 14:07:00 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_869faec68/fastqs_processed
INFO 	2016-04-14 14:07:00 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_869faec68/mapped_reads
TIME 	2016-04-14 14:07:05 	[clean_up] 	step time for completion (seconds) = 5


