
INFO 	2016-04-15 05:51:14 	[preliminary_checks] 	dc3a1e069_467f847a2 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-15 21:42:20 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_467f847a2/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-15 22:15:05 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-15 22:18:35 	[reads_filtering] 	step time for completion (seconds) = 2205

INFO 	2016-04-15 22:18:37 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_467f847a2/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-15 22:18:37 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-15 22:18:37 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-15 22:18:37 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-15 23:08:12 	[post_filtering_statistics] 	step time for completion (seconds) = 2975

INFO 	2016-04-15 23:08:15 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_467f847a2/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-16 00:20:48 	[index_contacts] 	step time for completion (seconds) = 4353

INFO 	2016-04-16 00:20:53 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 109 files...
TIME 	2016-04-16 02:42:29 	[map_to_bam] 	step time for completion (seconds) = 8496

INFO 	2016-04-16 02:42:41 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-16 15:21:07 	[downstream_bam] 	step time for completion (seconds) = 45506

INFO 	2016-04-16 15:21:08 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-16 15:21:08 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_467f847a2/fastqs_processed
INFO 	2016-04-16 15:21:08 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_467f847a2/mapped_reads
TIME 	2016-04-16 15:21:09 	[clean_up] 	step time for completion (seconds) = 1


