
INFO 	2016-04-15 00:26:45 	[preliminary_checks] 	2d656cab7_45234cdca found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-15 01:23:51 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/2d656cab7_45234cdca/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-15 01:23:51 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-15 01:23:51 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 3152

INFO 	2016-04-15 01:23:57 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-15 01:23:57 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-15 01:23:57 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-15 01:23:57 	[align_and_merge] 	read length = 75
INFO 	2016-04-15 01:23:57 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-15 01:23:57 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-15 07:43:25 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/2d656cab7_45234cdca/logs/hg38_mmtv/2d656cab7_45234cdca_align_and_merge_paired_end.log
TIME 	2016-04-15 07:45:06 	[align_and_merge] 	step time for completion (seconds) = 22873

INFO 	2016-04-15 07:45:14 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-15 08:15:44 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.89288424479
INFO 	2016-04-15 08:15:44 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.874844910619
INFO 	2016-04-15 08:15:44 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 103239668
INFO 	2016-04-15 08:15:44 	[post_mapping_statistics] 	counts-to-distance slope = -1.32677999081
TIME 	2016-04-15 08:15:54 	[post_mapping_statistics] 	step time for completion (seconds) = 1840

INFO 	2016-04-15 08:16:13 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-15 08:16:13 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/2d656cab7_45234cdca/results/hg38_mmtv/filtered_reads
INFO 	2016-04-15 08:16:13 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/2d656cab7_45234cdca/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-15 08:16:13 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/2d656cab7_45234cdca/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-15 08:16:13 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/2d656cab7_45234cdca/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-15 08:32:01 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-15 08:34:17 	[reads_filtering] 	step time for completion (seconds) = 1100

INFO 	2016-04-15 08:34:34 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/2d656cab7_45234cdca/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-15 08:34:34 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-15 08:34:34 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-15 08:34:34 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-15 08:54:32 	[post_filtering_statistics] 	step time for completion (seconds) = 1198

INFO 	2016-04-15 08:54:44 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/2d656cab7_45234cdca/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-15 09:31:11 	[index_contacts] 	step time for completion (seconds) = 2187

INFO 	2016-04-15 09:31:15 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 60 files...
TIME 	2016-04-15 10:48:01 	[map_to_bam] 	step time for completion (seconds) = 4606

INFO 	2016-04-15 10:48:05 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-15 21:53:03 	[downstream_bam] 	step time for completion (seconds) = 39898

INFO 	2016-04-15 21:53:04 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-15 21:53:04 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/2d656cab7_45234cdca/fastqs_processed
INFO 	2016-04-15 21:53:04 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/2d656cab7_45234cdca/mapped_reads
TIME 	2016-04-15 21:53:05 	[clean_up] 	step time for completion (seconds) = 1


