
INFO 	2016-04-06 08:39:20 	[preliminary_checks] 	e6588f786_3e1166f1f found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 12:05:10 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 35836026
INFO 	2016-04-06 12:05:10 	[post_mapping_statistics] 	counts-to-distance slope = -0.994772247347
TIME 	2016-04-06 12:05:17 	[post_mapping_statistics] 	step time for completion (seconds) = 721

INFO 	2016-04-06 12:05:24 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 12:05:24 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_3e1166f1f/results/mm10/filtered_reads
INFO 	2016-04-06 12:05:24 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_3e1166f1f/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-06 12:05:24 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_3e1166f1f/results/mm10/excluded_reads/self_circle
INFO 	2016-04-06 12:05:24 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_3e1166f1f/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 12:11:19 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 12:12:02 	[reads_filtering] 	step time for completion (seconds) = 403

INFO 	2016-04-06 12:12:04 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_3e1166f1f/plots/mm10/post_filtering_statistics:
INFO 	2016-04-06 12:12:04 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 12:12:04 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 12:12:04 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 12:20:06 	[post_filtering_statistics] 	step time for completion (seconds) = 482

INFO 	2016-04-06 12:20:08 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_3e1166f1f/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 12:34:18 	[index_contacts] 	step time for completion (seconds) = 850

INFO 	2016-04-06 12:34:20 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 21 files...
TIME 	2016-04-06 12:59:45 	[map_to_bam] 	step time for completion (seconds) = 1525

INFO 	2016-04-06 12:59:47 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0415/job_scripts/2164926: line 747: 28670 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-06 20:26:51 	[downstream_bam] 	step time for completion (seconds) = 26824

INFO 	2016-04-06 20:26:52 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-06 20:26:52 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/e6588f786_3e1166f1f/fastqs_processed
INFO 	2016-04-06 20:26:52 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/e6588f786_3e1166f1f/mapped_reads
TIME 	2016-04-06 20:26:57 	[clean_up] 	step time for completion (seconds) = 5


