
INFO 	2016-04-05 17:56:05 	[preliminary_checks] 	66950b082_c478f1d09 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 03:50:22 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/66950b082_c478f1d09/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-06 03:50:22 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/66950b082_c478f1d09/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-06 03:50:22 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/66950b082_c478f1d09/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 04:11:37 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 04:13:09 	[reads_filtering] 	step time for completion (seconds) = 1387

INFO 	2016-04-06 04:13:12 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/66950b082_c478f1d09/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-06 04:13:12 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 04:13:12 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 04:13:12 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 04:32:53 	[post_filtering_statistics] 	step time for completion (seconds) = 1181

INFO 	2016-04-06 04:32:55 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/66950b082_c478f1d09/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 05:07:22 	[index_contacts] 	step time for completion (seconds) = 2067

INFO 	2016-04-06 05:07:24 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 74 files...
TIME 	2016-04-06 06:44:40 	[map_to_bam] 	step time for completion (seconds) = 5836

INFO 	2016-04-06 06:44:43 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-06 17:31:46 	[downstream_bam] 	step time for completion (seconds) = 38823

INFO 	2016-04-06 17:31:48 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-06 17:31:48 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/66950b082_c478f1d09/fastqs_processed
INFO 	2016-04-06 17:31:48 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/66950b082_c478f1d09/mapped_reads
TIME 	2016-04-06 17:31:49 	[clean_up] 	step time for completion (seconds) = 1


