
INFO 	2016-04-05 23:18:21 	[preliminary_checks] 	cb6b65581_f34e98deb found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 00:46:48 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 00:46:48 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 4867

INFO 	2016-04-06 00:46:55 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-06 00:46:55 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-06 00:46:55 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 00:46:55 	[align_and_merge] 	read length = 75
INFO 	2016-04-06 00:46:55 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-06 00:46:55 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 10:35:08 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_f34e98deb/logs/hg38_mmtv/cb6b65581_f34e98deb_align_and_merge_paired_end.log
TIME 	2016-04-06 10:38:22 	[align_and_merge] 	step time for completion (seconds) = 35492

INFO 	2016-04-06 10:38:37 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 11:28:18 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.872150486958
INFO 	2016-04-06 11:28:18 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.826614281015
INFO 	2016-04-06 11:28:18 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 150970683
INFO 	2016-04-06 11:28:18 	[post_mapping_statistics] 	counts-to-distance slope = -1.38321325369
TIME 	2016-04-06 11:28:26 	[post_mapping_statistics] 	step time for completion (seconds) = 2989

INFO 	2016-04-06 11:28:53 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 11:28:53 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_f34e98deb/results/hg38_mmtv/filtered_reads
INFO 	2016-04-06 11:28:53 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_f34e98deb/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-06 11:28:53 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_f34e98deb/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-06 11:28:53 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_f34e98deb/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 11:56:51 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 11:58:12 	[reads_filtering] 	step time for completion (seconds) = 1785

INFO 	2016-04-06 11:58:16 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_f34e98deb/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-06 11:58:16 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 11:58:16 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 11:58:16 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 12:17:50 	[post_filtering_statistics] 	step time for completion (seconds) = 1174

INFO 	2016-04-06 12:17:52 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_f34e98deb/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 12:51:45 	[index_contacts] 	step time for completion (seconds) = 2033

INFO 	2016-04-06 12:51:48 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 82 files...
TIME 	2016-04-06 14:50:18 	[map_to_bam] 	step time for completion (seconds) = 7110

INFO 	2016-04-06 14:50:21 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-07 02:07:33 	[downstream_bam] 	step time for completion (seconds) = 40632

INFO 	2016-04-07 02:07:34 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-07 02:07:34 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_f34e98deb/fastqs_processed
INFO 	2016-04-07 02:07:34 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_f34e98deb/mapped_reads
TIME 	2016-04-07 02:07:34 	[clean_up] 	step time for completion (seconds) = 0


