
INFO 	2016-04-05 22:28:25 	[preliminary_checks] 	66950b082_20edef23a found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 22:30:18 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-05 22:52:58 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-05 22:52:58 	[trim_reads_trimmomatic] 	reads after trimming = 61597819
INFO 	2016-04-05 22:53:18 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-05 22:53:18 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/66950b082_20edef23a/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-05 22:53:18 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-05 22:53:18 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1380

INFO 	2016-04-05 22:53:23 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-05 22:53:23 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-05 22:53:24 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-05 22:53:24 	[align_and_merge] 	read length = 75
INFO 	2016-04-05 22:53:24 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 22:53:24 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 00:59:35 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/66950b082_20edef23a/logs/hg38_mmtv/66950b082_20edef23a_align_and_merge_paired_end.log
TIME 	2016-04-06 01:00:14 	[align_and_merge] 	step time for completion (seconds) = 7615

INFO 	2016-04-06 01:00:19 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 01:18:44 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.841157541633
INFO 	2016-04-06 01:18:44 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.831530057907
INFO 	2016-04-06 01:18:44 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 47243606
INFO 	2016-04-06 01:18:44 	[post_mapping_statistics] 	counts-to-distance slope = -1.23013312251
TIME 	2016-04-06 01:19:00 	[post_mapping_statistics] 	step time for completion (seconds) = 1121

INFO 	2016-04-06 01:19:08 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 01:19:08 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/66950b082_20edef23a/results/hg38_mmtv/filtered_reads
INFO 	2016-04-06 01:19:08 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/66950b082_20edef23a/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-06 01:19:08 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/66950b082_20edef23a/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-06 01:19:08 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/66950b082_20edef23a/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 01:27:55 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 01:28:04 	[reads_filtering] 	step time for completion (seconds) = 542

INFO 	2016-04-06 01:28:05 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/66950b082_20edef23a/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-06 01:28:05 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 01:28:05 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 01:28:05 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 01:33:19 	[post_filtering_statistics] 	step time for completion (seconds) = 314

INFO 	2016-04-06 01:33:21 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/66950b082_20edef23a/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 01:36:27 	[index_contacts] 	step time for completion (seconds) = 186

INFO 	2016-04-06 01:36:37 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 24 files...
TIME 	2016-04-06 02:02:32 	[map_to_bam] 	step time for completion (seconds) = 1555

INFO 	2016-04-06 02:02:43 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0309/job_scripts/2164827: line 747: 35507 Aborted                 (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-06 06:43:00 	[downstream_bam] 	step time for completion (seconds) = 16817

INFO 	2016-04-06 06:43:01 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-06 06:43:01 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/66950b082_20edef23a/fastqs_processed
INFO 	2016-04-06 06:43:01 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/66950b082_20edef23a/mapped_reads
TIME 	2016-04-06 06:43:06 	[clean_up] 	step time for completion (seconds) = 5


