
INFO 	2016-04-15 00:26:56 	[preliminary_checks] 	a6b51238d_2f12c35de found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-15 01:44:17 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/a6b51238d_2f12c35de/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-15 01:44:17 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-15 01:44:17 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 4322

INFO 	2016-04-15 01:44:23 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-15 01:44:23 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-15 01:44:23 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-15 01:44:23 	[align_and_merge] 	read length = 75
INFO 	2016-04-15 01:44:23 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-15 01:44:23 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-15 09:24:28 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/a6b51238d_2f12c35de/logs/hg38_mmtv/a6b51238d_2f12c35de_align_and_merge_paired_end.log
TIME 	2016-04-15 09:25:57 	[align_and_merge] 	step time for completion (seconds) = 27698

INFO 	2016-04-15 09:26:09 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-15 09:56:14 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.876395035961
INFO 	2016-04-15 09:56:14 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.633082249617
INFO 	2016-04-15 09:56:14 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 107040729
INFO 	2016-04-15 09:56:14 	[post_mapping_statistics] 	counts-to-distance slope = -1.27068279411
TIME 	2016-04-15 09:56:21 	[post_mapping_statistics] 	step time for completion (seconds) = 1812

INFO 	2016-04-15 09:56:37 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-15 09:56:37 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/a6b51238d_2f12c35de/results/hg38_mmtv/filtered_reads
INFO 	2016-04-15 09:56:37 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/a6b51238d_2f12c35de/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-15 09:56:37 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/a6b51238d_2f12c35de/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-15 09:56:37 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/a6b51238d_2f12c35de/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-15 10:12:06 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-15 10:13:31 	[reads_filtering] 	step time for completion (seconds) = 1029

INFO 	2016-04-15 10:13:33 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/a6b51238d_2f12c35de/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-15 10:13:33 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-15 10:13:33 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-15 10:13:33 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-15 10:31:47 	[post_filtering_statistics] 	step time for completion (seconds) = 1094

INFO 	2016-04-15 10:31:50 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/a6b51238d_2f12c35de/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-15 11:03:16 	[index_contacts] 	step time for completion (seconds) = 1886

INFO 	2016-04-15 11:03:18 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 58 files...
TIME 	2016-04-15 12:20:23 	[map_to_bam] 	step time for completion (seconds) = 4625

INFO 	2016-04-15 12:20:26 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-15 23:42:27 	[downstream_bam] 	step time for completion (seconds) = 40922

INFO 	2016-04-15 23:42:29 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-15 23:42:29 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/a6b51238d_2f12c35de/fastqs_processed
INFO 	2016-04-15 23:42:29 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/a6b51238d_2f12c35de/mapped_reads
TIME 	2016-04-15 23:42:29 	[clean_up] 	step time for completion (seconds) = 0


